Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
232,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
232,8,Foraging,Background,Adult,{},{11},[68418.82533499599;47835.22293896973;-4210.152871904895]
232,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
232,9,Foraging,Door,Adult,{},{},[-24805.33059644699;36137.31067639589;-5889.273500137031]
232,11,Foraging,Background,Adult,{},{8},[72234.7586914599;47470.09727413952;-6691.547963883728]
232,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
233,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
233,8,Foraging,Background,Adult,{11},{11},[68884.3587270081;47824.72840027511;-4267.109712663107]
233,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
233,9,Foraging,Door,Adult,{},{},[-24700.054275274277;36157.33372426033;-5898.950787991285]
233,11,Foraging,Background,Adult,{8},{8},[71785.76377606392;47515.796270251274;-6634.144608065486]
233,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
234,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
234,8,Foraging,Background,Adult,{},{11},[65925.17865121365;47884.213690042496;-3920.7175967097282]
234,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
234,9,Foraging,Door,Adult,{},{},[-24701.316882163286;36167.07774403691;-6151.754246536642]
234,11,Foraging,Background,Adult,{},{8},[71011.60658293962;47508.03906457871;-6921.587966028601]
234,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
235,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
235,8,Foraging,Background,Adult,{},{11},[65982.39822638035;47908.51554881036;-3773.8041129345074]
235,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
235,9,Foraging,Door,Adult,{},{},[-24695.20367847383;36136.85813242197;-6494.905459675938]
235,11,Foraging,Background,Adult,{},{8},[69861.22050860524;47505.72914290428;-7238.173846526071]
235,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
236,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
236,8,Foraging,Background,Adult,{},{11},[65768.21115672588;47899.068093299866;-3749.8668206185102]
236,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
236,9,Foraging,Door,Adult,{},{},[-24751.47232187353;36124.18940312788;-6789.87491849158]
236,11,Foraging,Background,Adult,{},{8},[69753.0709259808;47461.36649122834;-7531.803100293502]
236,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
237,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
237,8,Foraging,Background,Adult,{},{11},[65449.60276442021;47886.604552313685;-3714.4963943269104]
237,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
237,9,Foraging,Door,Adult,{},{},[-24744.325886175036;36121.28801098466;-7041.890207525343]
237,11,Foraging,Background,Adult,{},{8},[69909.46576714516;47451.283858180046;-7626.513049837202]
237,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
238,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
238,8,Foraging,Background,Adult,{},{11},[65246.26773183048;47886.129256635904;-3690.6889019915834]
238,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
238,9,Low sitting/standing (stationary),Door,Adult,{},{},[-25661.414174150676;35948.55474441871;-7050.747348824516]
238,11,Foraging,Background,Adult,{},{8},[71075.94564327598;47528.06935992837;-6699.71991812624]
238,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
239,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
239,8,Foraging,Background,Adult,{},{11},[65449.60276442021;47886.604552313685;-3714.4963943269104]
239,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
239,9,Low sitting/standing (stationary),Door,Adult,{},{},[-25522.16209231876;35984.537093725055;-7671.690879462287]
239,11,Moving,Background,Adult,{},{8},[72533.78548753262;47631.401524722576;-5179.300602987409]
239,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
240,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
240,8,Foraging,Background,Adult,{},{},[65667.26121741533;47898.504990428686;-3738.3461938267574]
240,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
240,9,Low sitting/standing (stationary),Door,Adult,{},{},[-25398.463500261307;36015.054723739624;-7837.732444226742]
240,11,Moving,Background,Adult,{},{},[73722.09487009048;47692.587388277054;-3696.012367554009]
240,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
241,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
241,8,Foraging,Background,Adult,{},{},[65913.19008207321;47921.541840553284;-3688.778139770031]
241,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
241,9,Low sitting/standing (stationary),Door,Adult,{},{},[-25153.48871099949;36057.100464344025;-7709.290904060006]
241,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
242,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
242,8,Foraging,Background,Adult,{},{},[66139.46057065576;47930.71399927139;-3637.117165254662]
242,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
242,9,Low sitting/standing (stationary),Door,Adult,{},{},[-24954.92985276133;36077.29674217105;-7571.668752321973]
242,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
243,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
243,8,Foraging,Background,Adult,{},{},[66638.24837200344;47975.766600981355;-3460.085730826482]
243,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
243,9,Low sitting/standing (stationary),Door,Adult,{},{},[-24715.953711360693;36106.842605382204;-7491.511841610074]
243,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
244,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
244,8,Foraging,Background,Adult,{},{},[67095.97100430727;47990.63023757562;-3279.9334172846284]
244,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
244,9,Low sitting/standing (stationary),Door,Adult,{},{},[-24655.555972456932;36121.33189854026;-7448.181694943458]
244,12,Moving,Waiting Area,Adult,{},{13},[76265.89547018707;52950.54350505769;34040.57463274151]
244,13,Moving,Waiting Area,Adult,{},{12},[82604.55775707215;53041.7172290422;32218.69245536253]
244,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
245,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
245,8,Foraging,Background,Adult,{},{},[67557.37087655067;48018.77175594866;-3176.157303926535]
245,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
245,9,Low sitting/standing (stationary),Door,Adult,{},{},[-24655.555972456932;36121.33189854026;-7448.181694943458]
245,12,Playfight,Waiting Area,Adult,{},{},[24777.16212842241;45684.67089499533;1471.1378757387865]
245,14,Moving,Background,Adult,{},{},[77036.80372216552;48805.23689657077;5543.714085882995]
245,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
246,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
246,8,Foraging,Background,Adult,{},{},[68127.01616066694;48048.01277305186;-3008.850486777723]
246,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
246,9,Low sitting/standing (stationary),Door,Adult,{},{},[-24655.555972456932;36121.33189854026;-7448.181694943458]
246,13,Playfight,Waiting Area,Adult,{},{},[23499.958569169044;43911.938666433096;-3448.5716199055314]
246,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
247,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
247,8,Foraging,Background,Adult,{},{},[68220.90455281734;48044.7469021678;-3018.6008498333395]
247,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
247,9,Low sitting/standing (stationary),Door,Adult,{},{},[-24655.555972456932;36121.33189854026;-7448.181694943458]
247,12,Playfight,Waiting Area,Adult,{},{},[16594.543767124414;42936.841120556;-4349.409304149449]
247,13,Playfight,Waiting Area,Adult,{},{},[26336.631850481033;43912.09677004814;-4345.423164397478]
247,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
248,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
248,8,Foraging,Background,Adult,{},{},[67966.10731141269;48020.960185579956;-3146.4535909744445]
248,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
248,9,Low sitting/standing (stationary),Door,Adult,{},{},[-24655.555972456932;36121.33189854026;-7448.181694943458]
248,12,Playfight,Waiting Area,Adult,{},{13},[17552.8199878335;42320.074926912785;-5629.562049284577]
248,13,Playfight,Waiting Area,Adult,{},{12},[23630.26885134913;41745.61092847958;-7794.176568751689]
248,14,Moving,Waiting Area,Adult,{},{},[72743.16008925438;51388.508024811745;17549.12456512451]
248,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13714.69931967184;29481.862415120006;-15458.033389825374]
249,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
249,8,Foraging,Background,Adult,{},{},[67746.69624221325;48013.645851910114;-3198.3200195878744]
249,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
249,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25048.672057731077;36077.08400123939;-7719.963070699014]
249,12,Playfight,Waiting Area,Adult,{},{},[17874.727519348264;42301.4535292089;-5728.9329644441605]
249,14,Moving,Waiting Area,Adult,{},{},[72207.67468370497;51634.91176640242;19133.05908833444]
249,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
250,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
250,8,Foraging,Background,Adult,{},{},[67490.71882639825;47988.49662490934;-3325.7207799989264]
250,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
250,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
250,12,Playfight,Waiting Area,Adult,{},{},[18366.83697105758;42350.95964251831;-5641.690739820711]
250,14,Moving,Waiting Area,Adult,{},{},[71608.37995875627;51655.145523991436;19091.825802171603]
250,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
251,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
251,8,Foraging,Background,Adult,{},{},[67257.98578540981;47973.52457283437;-3377.8506138427183]
251,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
251,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
251,12,Playfight,Waiting Area,Adult,{},{},[18275.868478536606;42224.341539382935;-5941.936864256859]
251,14,Moving,Waiting Area,Adult,{},{},[71469.90842419863;51565.41638752818;18549.777071505785]
251,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
252,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
252,8,Foraging,Background,Adult,{},{},[67007.37787398696;47954.02126107365;-3505.2686993568204]
252,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
252,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
252,12,Playfight,Waiting Area,Adult,{},{},[18491.523934431374;42204.08415898681;-5971.810543442145]
252,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
253,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
253,8,Foraging,Background,Adult,{},{},[66776.92132210732;47940.1045255065;-3555.954791303724]
253,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
253,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
253,12,Playfight,Waiting Area,Adult,{},{},[18743.373837012798;42230.22642902285;-5903.716521038674]
253,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
254,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
254,8,Foraging,Background,Adult,{},{},[66776.92132210732;47940.1045255065;-3555.954791303724]
254,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
254,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
254,12,Playfight,Waiting Area,Adult,{},{},[18844.243075549603;42618.77546900511;-5079.450799442828]
254,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
255,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
255,8,Foraging,Background,Adult,{},{},[66776.92132210732;47940.1045255065;-3555.954791303724]
255,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
255,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
255,12,Playfight,Waiting Area,Adult,{13},{13},[23657.76550348848;42562.22802336514;-6213.4911977332085]
255,13,Moving,Waiting Area,Adult,{12},{12},[25429.865952819586;41874.18209826946;-8035.804768715054]
255,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
256,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
256,8,Foraging,Background,Adult,{},{},[66776.92132210732;47940.1045255065;-3555.954791303724]
256,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
256,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
256,12,Playfight,Waiting Area,Adult,{},{13},[26282.847432650626;42318.17827549577;-7428.219176709652]
256,13,Playfight,Waiting Area,Adult,{},{12},[30239.726153042167;42874.628414578736;-7744.836681256071]
256,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
257,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
257,8,Foraging,Background,Adult,{},{},[66684.46348917484;47945.77717244625;-3543.731895431876]
257,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
257,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
257,12,Playfight,Waiting Area,Adult,{},{},[32160.47595177591;44234.20810839534;-5810.307856690139]
257,14,Playfight,Waiting Area,Adult,{},{},[44779.53018516302;48467.35724207759;-682.9986544991843]
257,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
258,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
258,8,Foraging,Background,Adult,{},{},[66599.37557326257;47955.53217048943;-3534.442994210869]
258,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
258,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
258,12,Playfight,Waiting Area,Adult,{},{},[32759.453191772103;44719.91339285672;-5065.280372448266]
258,14,Playfight,Waiting Area,Adult,{},{},[50474.92913073301;49075.08736254275;-149.0712412384164]
258,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
259,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
259,8,Foraging,Background,Adult,{},{},[66599.37557326257;47955.53217048943;-3534.442994210869]
259,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37909.01548819989;41033.744644761086;-20868.88310423866]
259,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
259,12,Playfight,Waiting Area,Adult,{},{},[31774.926261477172;44555.25159749389;-4988.23964085523]
259,14,Playfight,Waiting Area,Adult,{},{},[43283.89508628845;47787.433002471924;-3201.6740676760674]
259,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
260,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
260,8,Foraging,Background,Adult,{},{},[66599.37557326257;47955.53217048943;-3534.442994210869]
260,10,Raised Guarding (Vigilant),Background,Adult,{},{},[37694.153006613255;40971.53495322168;-20796.980592567474]
260,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
260,12,Playfight,Waiting Area,Adult,{},{},[32341.847830578685;45012.2419205755;-4287.53422485292]
260,14,Playfight,Waiting Area,Adult,{},{},[43427.67205618322;48155.14474321902;-1580.2165901185945]
260,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
261,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12469.98582906276;29329.583754748106;-15117.8035322316]
261,8,Foraging,Background,Adult,{},{},[66599.37557326257;47955.53217048943;-3534.442994210869]
261,10,Moving,Background,Adult,{},{},[32303.528685942292;39419.44145484269;-19120.586024306715]
261,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
261,12,Playfight,Waiting Area,Adult,{},{},[36902.47553692758;46570.23204380274;-3183.9465637654066]
261,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
262,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12511.417331703007;29330.314900763333;-15127.795625697821]
262,8,Foraging,Background,Adult,{},{},[66521.7450568676;47971.96238899231;-3525.071593619883]
262,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
262,12,Playfight,Waiting Area,Adult,{},{},[35698.96904921532;46292.22037786245;-3418.7417869260535]
262,0,Lying/resting (stationary),Foraging,Adult,{6},{6},[13740.087284564972;29532.12510047108;-15440.66942660138]
263,6,Lying/resting (stationary),Foraging,Adult,{0;10},{0;10},[12511.417331703007;29330.314900763333;-15127.795625697821]
263,8,Foraging,Background,Adult,{},{},[66425.61732149124;47975.079507648945;-3511.853540284559]
263,10,Moving,Foraging,Adult,{0;6},{0;6},[14852.730052411556;31196.408918857574;-14652.523657083511]
263,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
263,12,Playfight,Waiting Area,Adult,{},{},[37953.98154732585;47092.49745053053;-2205.632573599927]
263,0,Lying/resting (stationary),Foraging,Adult,{10;6},{10;6},[13740.087284564972;29532.12510047108;-15440.66942660138]
264,6,Lying/resting (stationary),Foraging,Adult,{0;10},{0;10},[12511.417331703007;29330.314900763333;-15127.795625697821]
264,8,Foraging,Background,Adult,{},{},[66425.61732149124;47975.079507648945;-3511.853540284559]
264,10,Moving,Foraging,Adult,{0;6},{0;6},[10919.62602673471;29915.335404885933;-14433.020924346521]
264,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
264,12,Playfight,Waiting Area,Adult,{13},{13},[38803.026878386736;47627.52677375078;-647.8713379660621]
264,13,Playfight,Waiting Area,Adult,{12},{12},[41514.20687016845;48009.20437720418;-1114.2481567999348]
264,0,Lying/resting (stationary),Foraging,Adult,{10;6},{10;6},[13740.087284564972;29532.12510047108;-15440.66942660138]
265,6,Lying/resting (stationary),Foraging,Adult,{0;10},{0;10},[12511.417331703007;29330.314900763333;-15127.795625697821]
265,8,Foraging,Background,Adult,{},{},[66425.61732149124;47975.079507648945;-3511.853540284559]
265,10,Low sitting/standing (stationary),Foraging,Adult,{0;6},{0;6},[10097.5840517506;29690.739851139486;-14388.759234838188]
265,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
265,13,Playfight,Waiting Area,Adult,{},{14},[40649.16048616171;48055.98104220629;644.5344100790098]
265,14,Moving,Waiting Area,Adult,{},{13},[47429.37862417102;48560.270615532994;-2200.6969533944502]
265,0,Lying/resting (stationary),Foraging,Adult,{10;6},{10;6},[13740.087284564972;29532.12510047108;-15440.66942660138]
266,6,Lying/resting (stationary),Foraging,Adult,{0;10},{0;10},[12511.417331703007;29330.314900763333;-15127.795625697821]
266,8,Foraging,Background,Adult,{},{},[66365.27394648641;47948.62110912427;-3659.404301248491]
266,10,Low sitting/standing (stationary),Foraging,Adult,{0;6},{0;6},[10034.476310789585;29735.403255820274;-14353.258848235011]
266,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
266,13,Playfight,Waiting Area,Adult,{},{14},[38293.54623454809;47747.47621488571;654.9387017926201]
266,14,Moving,Waiting Area,Adult,{},{13},[44380.19015881419;48283.951546251774;-1473.222562532872]
266,0,Lying/resting (stationary),Foraging,Adult,{10;6},{10;6},[13740.087284564972;29532.12510047108;-15440.66942660138]
267,6,Lying/resting (stationary),Foraging,Adult,{0;10},{0;10},[12511.417331703007;29330.314900763333;-15127.795625697821]
267,8,Foraging,Background,Adult,{},{},[66318.03409588337;47924.040001928806;-3733.786601522006]
267,10,Low sitting/standing (stationary),Foraging,Adult,{0;6},{0;6},[10054.722626693547;29782.63097678125;-14333.455911328085]
267,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
267,12,Playfight,Waiting Area,Adult,{14},{13;14},[35744.81416144967;46614.13654536009;-2659.5160013251007]
267,13,Playfight,Waiting Area,Adult,{},{12;14},[39122.994665026665;47881.61071956158;978.1701925769448]
267,14,Moving,Waiting Area,Adult,{12},{12;13},[33580.22590345144;46634.334683954716;-776.508729361929]
267,0,Lying/resting (stationary),Foraging,Adult,{10;6},{10;6},[13740.087284564972;29532.12510047108;-15440.66942660138]
268,6,Lying/resting (stationary),Foraging,Adult,{0;10},{0;10},[12511.417331703007;29330.314900763333;-15127.795625697821]
268,8,Foraging,Background,Adult,{},{},[65477.615473270416;47898.951071083546;-3640.12004904449]
268,10,Low sitting/standing (stationary),Foraging,Adult,{0;6},{0;6},[9973.337123762816;29783.741116801277;-14316.6302677067]
268,9,High sitting/standing (Vigilant),Door,Adult,{},{},[-25100.550818920135;36064.885272979736;-7714.918005272746]
268,12,Playfight,Waiting Area,Adult,{},{14},[36291.98447455466;47333.328193709254;306.88034519244684]
268,14,Moving,Waiting Area,Adult,{},{12},[34489.89305501431;44998.07760485262;-5492.905309340917]
268,0,Lying/resting (stationary),Foraging,Adult,{10;6},{10;6},[13740.087284564972;29532.12510047108;-15440.66942660138]
269,6,Lying/resting (stationary),Foraging,Adult,{0;10},{0;10},[12511.417331703007;29330.314900763333;-15127.795625697821]
269,10,Low sitting/standing (stationary),Foraging,Adult,{0;6},{0;6},[9973.337123762816;29783.741116801277;-14316.6302677067]
269,9,Moving,Door,Adult,{},{},[-24727.37961561978;36117.00217190385;-7242.978934705257]
269,12,Playfight,Waiting Area,Adult,{},{},[40172.762692667544;48135.73613995314;1895.8145386185497]
269,14,Moving,Waiting Area,Adult,{},{},[35969.108334064484;45631.88788151741;-5085.007807210088]
269,0,Lying/resting (stationary),Foraging,Adult,{10;6},{10;6},[13740.087284564972;29532.12510047108;-15440.66942660138]
270,6,Lying/resting (stationary),Foraging,Adult,{0;10},{0;10},[12511.417331703007;29330.314900763333;-15127.795625697821]
270,8,Playfight,Waiting Area,Adult,{},{12},[43148.49091320485;48498.95767235011;710.3888621998485]
270,10,Low sitting/standing (stationary),Foraging,Adult,{0;6},{0;6},[10134.634288664907;29783.757290754467;-14350.471828412265]
270,9,Moving,Door,Adult,{},{},[-22881.959916507825;36557.85084266588;-4465.323110116646]
270,12,Playfight,Waiting Area,Adult,{},{8;14},[38975.18173074722;47887.373576164246;1057.057334922254]
270,14,Moving,Waiting Area,Adult,{},{12},[35660.09838786721;45531.75523349643;-5042.469641529024]
270,0,Lying/resting (stationary),Foraging,Adult,{10;6},{10;6},[13740.087284564972;29532.12510047108;-15440.66942660138]
271,6,Lying/resting (stationary),Foraging,Adult,{0;10},{0;10},[12511.417331703007;29330.314900763333;-15127.795625697821]
271,8,Playfight,Waiting Area,Adult,{},{12;14},[34096.6097227931;46768.32163311541;-1012.7138222875074]
271,10,Moving,Foraging,Adult,{0;6},{0;6},[10586.692072181962;29704.52558185719;-14492.646264801733]
271,9,Moving,Door,Adult,{},{},[-19476.675094768405;37489.29672315717;-2394.08116722852]
271,12,Playfight,Waiting Area,Adult,{},{8;14},[38038.006529688835;47576.87561285496;-49.70327840890968]
271,14,Moving,Waiting Area,Adult,{},{12;8},[33263.87057495117;44665.998611450195;-5436.394428253174]
271,0,Lying/resting (stationary),Foraging,Adult,{10;6},{10;6},[13740.087284564972;29532.12510047108;-15440.66942660138]
