Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
39,3,Lying/resting (stationary),Background,Adult,{},{},[36145.828343153;38702.0374982357;-28748.71116065979]
40,0,Foraging,Foraging,Adult,{},{1},[6590.4740168545395;32246.0961503461;-12544.848737068474]
40,1,Foraging,Foraging,Adult,{},{0},[13542.206192456186;31891.918606325984;-13328.95083745569]
40,2,Low sitting/standing (stationary),Background,Adult,{},{},[44627.68164594099;41475.18251246214;-28644.782475499436]
40,3,Lying/resting (stationary),Background,Adult,{},{},[36145.828343153;38702.0374982357;-28748.71116065979]
41,0,Moving,Foraging,Adult,{},{1},[7726.390625475906;31847.723308309913;-12679.931578194723]
41,1,Foraging,Foraging,Adult,{},{0},[13639.95274894964;31912.29612906836;-13355.338722525164]
41,2,Low sitting/standing (stationary),Background,Adult,{},{},[44627.68164594099;41475.18251246214;-28644.782475499436]
41,3,Lying/resting (stationary),Background,Adult,{},{},[36145.828343153;38702.0374982357;-28748.71116065979]
42,0,Moving,Foraging,Adult,{},{1},[8935.339146468788;31557.136438831687;-13134.091226272285]
42,1,Foraging,Foraging,Adult,{},{0},[13605.92728659138;31927.692708235234;-13308.923749812879]
42,2,Moving,Background,Adult,{},{},[44627.68164594099;41475.18251246214;-28644.782475499436]
42,3,Lying/resting (stationary),Background,Adult,{},{},[36145.828343153;38702.0374982357;-28748.71116065979]
43,0,Moving,Foraging,Adult,{},{1},[8232.632140628062;31416.790094859898;-13043.770141569898]
43,1,Foraging,Foraging,Adult,{},{0},[13553.685724364594;31911.179282475263;-13293.12361096032]
43,3,Lying/resting (stationary),Background,Adult,{},{},[36145.828343153;38702.0374982357;-28748.71116065979]
44,0,Moving,Foraging,Adult,{},{},[7979.292950361967;31395.61266541481;-13035.90408974886]
44,3,Lying/resting (stationary),Background,Adult,{},{},[36145.828343153;38702.0374982357;-28748.71116065979]
45,0,Foraging,Foraging,Adult,{},{},[8060.280078291893;31394.502890586853;-13048.954023092985]
45,3,Lying/resting (stationary),Background,Adult,{},{},[36145.828343153;38702.0374982357;-28748.71116065979]
46,0,Foraging,Foraging,Adult,{},{},[8141.093561798334;31393.556930720806;-13062.06977455318]
46,3,Lying/resting (stationary),Background,Adult,{},{},[36145.828343153;38702.0374982357;-28748.71116065979]
47,0,Foraging,Foraging,Adult,{},{1},[8260.454565634951;31381.597184836864;-13079.833990637213]
47,1,Foraging,Foraging,Adult,{},{0},[14302.921896234155;32184.123000741005;-13443.043812990189]
47,3,Lying/resting (stationary),Background,Adult,{},{},[36145.828343153;38702.0374982357;-28748.71116065979]
48,0,Foraging,Foraging,Adult,{},{1},[8195.906122371554;31317.765310168266;-13131.499370634556]
48,1,Foraging,Foraging,Adult,{},{0},[13403.133200109005;31710.58069650829;-13551.418433442712]
48,3,Lying/resting (stationary),Background,Adult,{},{},[36145.828343153;38702.0374982357;-28748.71116065979]
49,0,Foraging,Foraging,Adult,{},{1},[8130.674658507109;31252.36400912702;-13181.50672384724]
49,1,Foraging,Foraging,Adult,{},{0},[13635.772361502051;31830.360005110502;-13548.604404568672]
49,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
50,5,Moving,Background,Adult,{},{},[64699.17046250403;44821.67039890587;-22652.308443568647]
50,0,Foraging,Foraging,Adult,{},{1},[8143.891891260631;31287.87278812006;-13153.649896346033]
50,1,Foraging,Foraging,Adult,{},{0},[13576.985147416592;31802.9706556499;-13572.507426381111]
50,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
51,5,Lying/resting (stationary),Background,Adult,{},{},[65232.78110522032;44936.18893927336;-22328.21737217903]
51,0,Foraging,Foraging,Adult,{},{1},[8182.341178061441;31283.715511202812;-13158.525931343436]
51,1,Foraging,Foraging,Adult,{},{0},[13433.718028747477;31683.313438912854;-13593.6718513323]
51,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
52,5,Lying/resting (stationary),Background,Adult,{},{},[65478.253600113094;44977.77373981476;-22156.995186664164]
52,0,Foraging,Foraging,Adult,{},{1},[8182.341178061441;31283.715511202812;-13158.525931343436]
52,1,Foraging,Foraging,Adult,{},{0},[13291.100307477638;31777.2976295799;-13685.587831363082]
52,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
53,5,Lying/resting (stationary),Background,Adult,{},{},[65582.05769950151;44990.128765657544;-22101.64006859809]
53,0,Foraging,Foraging,Adult,{},{1},[8262.825640847906;31274.046066816896;-13169.624266205356]
53,1,Foraging,Foraging,Adult,{},{0},[13180.534300189465;31737.60269393027;-13738.929736800492]
53,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
54,5,Lying/resting (stationary),Background,Adult,{},{},[65582.05769950151;44990.128765657544;-22101.64006859809]
54,0,Foraging,Foraging,Adult,{},{1},[9044.267192264087;31068.31929086335;-13448.300983251072]
54,1,Foraging,Foraging,Adult,{},{0},[12973.57936707139;31873.902198314667;-13745.255132086575]
54,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
55,5,Lying/resting (stationary),Background,Adult,{},{},[65613.03578728437;45004.36997273564;-22037.28386130184]
55,0,Foraging,Foraging,Adult,{1},{1},[9857.747149571776;30728.89952499792;-13772.468466855586]
55,1,Foraging,Foraging,Adult,{0},{0},[12894.3701492697;31894.250980958343;-13736.609172053635]
55,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
56,5,Lying/resting (stationary),Background,Adult,{},{},[65613.03578728437;45004.36997273564;-22037.28386130184]
56,0,Foraging,Foraging,Adult,{1},{1},[9655.258486673236;30733.83184015751;-13735.537095919251]
