Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
0,0,Interacting with foreign object,Foraging,Adult,{1;2},{3;1;2}
0,1,Interacting with foreign object,Foraging,Adult,{0;2},{3;0;5;2}
0,2,Moving,Foraging,Adult,{1;0},{3;1;0;5}
0,3,Moving,Foraging,Adult,{5},{5;1;0;2}
0,4,Moving,Foraging,Adult,{},{}
0,5,Foraging,Foraging,Adult,{3},{3;1;2}
0,6,High sitting/standing (Vigilant),Background,Adult,{},{}
1,0,Interacting with foreign object,Foraging,Adult,{2},{3;2}
1,2,Moving,Foraging,Adult,{3;0},{3;0;5}
1,3,Moving,Foraging,Adult,{2},{5;0;2}
1,4,Moving,Foraging,Adult,{},{}
1,5,Foraging,Foraging,Adult,{},{3;2}
1,6,High sitting/standing (Vigilant),Background,Adult,{},{}
2,0,Interacting with foreign object,Foraging,Adult,{},{3}
2,2,Moving,Foraging,Adult,{5},{3;5}
2,3,Moving,Foraging,Adult,{},{5;0;2}
2,4,Moving,Foraging,Adult,{},{}
2,5,Foraging,Foraging,Adult,{2},{3;2}
2,6,High sitting/standing (Vigilant),Background,Adult,{},{}
3,0,Interacting with foreign object,Foraging,Adult,{3;1},{3;1}
3,1,Interacting with foreign object,Foraging,Adult,{3;0},{3;0}
3,2,Moving,Foraging,Adult,{},{4}
3,3,Moving,Foraging,Adult,{1;0},{1;0}
3,4,Foraging,Foraging,Adult,{},{2}
3,6,High sitting/standing (Vigilant),Background,Adult,{},{}
4,0,Moving,Foraging,Adult,{},{5}
4,1,Interacting with foreign object,Foraging,Adult,{3},{3}
4,2,Low sitting/standing (stationary),Foraging,Adult,{},{4;5}
4,3,Interacting with foreign object,Foraging,Adult,{1},{1}
4,4,Foraging,Foraging,Adult,{},{2}
4,5,Foraging,Foraging,Adult,{},{0;2}
4,6,High sitting/standing (Vigilant),Background,Adult,{},{}
5,0,Moving,Waiting Area,Adult,{},{}
5,1,Moving,Foraging,Adult,{4;2},{4;5;2}
5,2,High sitting/standing (Vigilant),Foraging,Adult,{1;4},{1;5;4}
5,4,Low sitting/standing (stationary),Foraging,Adult,{1;2},{1;2}
5,5,Moving,Foraging,Adult,{},{1;2}
5,6,High sitting/standing (Vigilant),Background,Adult,{},{}
6,0,Moving,Waiting Area,Adult,{1},{4;1;2}
6,1,Moving,Foraging,Adult,{0},{4;0;2}
6,2,Moving,Foraging,Adult,{4},{1;0;4}
6,4,Moving,Foraging,Adult,{2},{1;0;2}
6,5,Moving,Waiting Area,Adult,{},{}
6,6,Moving,Background,Adult,{},{}
7,0,Moving,Foraging,Adult,{},{2}
7,1,Moving,Foraging,Adult,{2},{4;2}
7,2,Moving,Foraging,Adult,{1},{1;0}
7,4,Moving,Foraging,Adult,{},{1}
7,5,Moving,Waiting Area,Adult,{},{}
7,6,High sitting/standing (Vigilant),Background,Adult,{},{}
8,0,Foraging,Foraging,Adult,{},{2}
8,1,Moving,Foraging,Adult,{},{4}
8,2,High sitting/standing (Vigilant),Foraging,Adult,{},{4;0}
8,4,Moving,Foraging,Adult,{},{1;2}
8,6,High sitting/standing (Vigilant),Background,Adult,{},{}
9,1,Moving,Foraging,Adult,{},{}
9,2,Foraging,Foraging,Adult,{5},{4;5}
9,3,High sitting/standing (Vigilant),Waiting Area,Adult,{},{4}
9,4,Moving,Foraging,Adult,{},{3;5;2}
9,5,Moving,Foraging,Adult,{2},{4;2}
9,6,High sitting/standing (Vigilant),Background,Adult,{},{}
10,1,Interacting with foreign object,Foraging,Adult,{5},{5;2}
10,2,Low sitting/standing (stationary),Foraging,Adult,{5},{1;5;4}
10,3,High sitting/standing (Vigilant),Waiting Area,Adult,{},{4}
10,4,Foraging,Foraging,Adult,{},{3;5;2}
10,5,Foraging,Foraging,Adult,{1;2},{4;1;2}
10,6,High sitting/standing (Vigilant),Background,Adult,{},{}
11,0,Foraging,Foraging,Adult,{4},{1;4;5;3;2}
11,1,Moving,Foraging,Adult,{4;5;2},{5;4;0;2}
11,2,Low sitting/standing (stationary),Foraging,Adult,{1;5;4},{5;1;0;4}
11,3,High sitting/standing (Vigilant),Waiting Area,Adult,{},{4;0}
11,4,Foraging,Foraging,Adult,{1;0;2},{1;5;3;0;2}
11,5,Foraging,Foraging,Adult,{1;2},{4;1;0;2}
11,6,High sitting/standing (Vigilant),Background,Adult,{},{}
12,0,Foraging,Foraging,Adult,{3;1;4},{1;4;5;3;2}
12,1,Moving,Foraging,Adult,{3;4;0;2},{4;5;3;0;2}
12,2,Moving,Foraging,Adult,{1;5;4},{1;4;5;3;0}
12,3,Moving,Foraging,Adult,{1;0;4},{4;1;0;2}
12,4,Foraging,Foraging,Adult,{3;1;0;2},{1;5;3;0;2}
12,5,Foraging,Foraging,Adult,{2},{4;1;0;2}
12,6,High sitting/standing (Vigilant),Background,Adult,{},{}
13,1,High sitting/standing (Vigilant),Foraging,Adult,{3;4},{3;4;5;2}
13,2,Moving,Foraging,Adult,{5},{1;5;4}
13,3,High sitting/standing (Vigilant),Foraging,Adult,{1;4},{1;4}
13,4,Foraging,Foraging,Adult,{3;1},{3;1;5;2}
13,5,Foraging,Foraging,Adult,{2},{4;1;2}
13,6,Low sitting/standing (stationary),Background,Adult,{},{}
14,1,High sitting/standing (Vigilant),Foraging,Adult,{4},{3;4;5;2}
14,2,Moving,Foraging,Adult,{5},{1;5;4}
14,3,High sitting/standing (Vigilant),Foraging,Adult,{4},{1;4}
14,4,Foraging,Foraging,Adult,{3;1},{3;1;5;2}
14,5,Foraging,Foraging,Adult,{2},{4;1;2}
14,6,High sitting/standing (Vigilant),Background,Adult,{},{}
15,1,Moving,Foraging,Adult,{4},{3;4;5;2}
