Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
18,6,None,Around Mound,Pup,{10;7},{5;10;8;3;7}
18,10,Interact with pup,Around Mound,Adult,{6;3;7},{5;8;3;6;7}
18,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
18,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
18,3,Low sitting/standing (stationary),Around Mound,Adult,{7;10;5;8},{5;10;8;6;7}
18,5,Low sitting/standing (stationary),Around Mound,Adult,{3;7;8},{10;8;3;6;7}
18,7,None,Around Mound,Pup,{5;10;8;3;6},{5;10;8;3;6}
18,8,None,Around Mound,Pup,{3;7;5},{5;10;3;6;7}
19,6,None,Around Mound,Pup,{4;10;7},{4;5;10;8;3;7}
19,10,Interact with pup,Around Mound,Adult,{6;4;3;7},{4;5;8;3;6;7}
19,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
19,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
19,3,Low sitting/standing (stationary),Around Mound,Adult,{7;10;5;8},{4;5;10;8;6;7}
19,4,Interact with pup,Around Mound,Adult,{6;7;10;5},{5;10;8;3;6;7}
19,5,Low sitting/standing (stationary),Around Mound,Adult,{3;4;7;8},{4;10;8;3;6;7}
19,7,None,Around Mound,Pup,{4;5;10;8;3;6},{4;5;10;8;3;6}
19,8,None,Around Mound,Pup,{3;7;5},{4;5;10;3;6;7}
20,6,None,Around Mound,Pup,{4;10;7},{4;5;10;8;3;7}
20,10,Interact with pup,Around Mound,Adult,{6;4;3;7},{4;5;8;3;6;7}
20,11,Moving,Around Mound,Adult,{},{}
20,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
20,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
20,3,Low sitting/standing (stationary),Around Mound,Adult,{4;10;7;8},{4;5;10;8;6;7}
20,4,Low sitting/standing (stationary),Around Mound,Adult,{5;10;3;6;7},{5;10;8;3;6;7}
20,5,Low sitting/standing (stationary),Around Mound,Adult,{4;7;8},{4;10;8;3;6;7}
20,7,None,Around Mound,Pup,{4;5;10;8;3;6},{4;5;10;8;3;6}
20,8,None,Around Mound,Pup,{3;7;5},{4;5;10;3;6;7}
21,6,None,Around Mound,Pup,{10;7},{5;10;8;3;7}
21,10,Interact with pup,Around Mound,Adult,{6;3;7},{5;8;3;6;7}
21,11,Moving,Around Mound,Adult,{},{7;5;8}
21,1,Raised Guarding (Vigilant),Mound,Adult,{},{}
21,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
21,3,Low sitting/standing (stationary),Around Mound,Adult,{10;7;8},{5;10;8;6;7}
21,5,Low sitting/standing (stationary),Around Mound,Adult,{7;8},{10;8;3;6;7;11}
21,7,None,Around Mound,Pup,{5;10;8;3;6},{5;10;8;3;6;11}
21,8,None,Around Mound,Pup,{3;7;5},{5;10;3;6;7;11}
22,6,None,Around Mound,Pup,{10;7},{5;10;8;3;7}
22,10,Low sitting/standing (stationary),Around Mound,Adult,{6;3;7},{5;8;3;6;7}
22,11,Moving,Around Mound,Adult,{5;8},{3;7;5;8}
22,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
22,3,Interact with pup,Around Mound,Adult,{7;10;5;8},{5;10;8;6;7;11}
22,5,Moving,Around Mound,Adult,{3;7;11;8},{10;8;3;6;7;11}
22,7,None,Around Mound,Pup,{5;10;8;3;6},{5;10;8;3;6;11}
22,8,None,Around Mound,Pup,{3;7;5;11},{5;10;3;6;7;11}
23,6,None,Around Mound,Pup,{3;10;7},{10;8;3;7;11}
23,10,Low sitting/standing (stationary),Around Mound,Adult,{6;3;7},{8;3;6;7;11}
23,11,Moving,Around Mound,Adult,{7;5;8},{5;10;8;3;6;7}
23,1,Moving,Mound,Adult,{},{}
23,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
23,3,Interact with pup,Around Mound,Adult,{6;10;7;8},{5;10;8;6;7;11}
23,5,Moving,Around Mound,Adult,{11;8},{3;7;11;8}
23,7,None,Around Mound,Pup,{10;8;3;6;11},{5;10;8;3;6;11}
