Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
0,0,Dig burrow,Around Mound,Adult,{},{10;8;3;9;6;7}
0,1,Dig burrow,Sand Area,Adult,{},{}
0,3,Lying/resting (stationary),Around Mound,Adult,{6;10;9;8},{10;8;9;0;6;7}
0,5,Raised Guarding (Vigilant),Mound,Adult,{},{}
0,6,Low sitting/standing (stationary),Around Mound,Adult,{10;8;3;9;7},{10;8;3;9;0;7}
0,7,None,Around Mound,Pup,{6;10;9;8},{10;8;3;9;6;0}
0,8,None,Around Mound,Pup,{10;3;9;6;7},{10;3;9;0;6;7}
0,9,None,Around Mound,Pup,{10;8;3;6;7},{10;8;3;0;6;7}
0,10,None,Around Mound,Pup,{8;3;9;6;7},{8;3;9;0;6;7}
1,0,Dig burrow,Sand Area,Adult,{},{10;8;3;9;6;7}
1,1,Dig burrow,Sand Area,Adult,{},{}
1,3,Lying/resting (stationary),Around Mound,Adult,{6;10;9;8},{10;8;9;0;6;7}
1,5,Raised Guarding (Vigilant),Mound,Adult,{},{}
1,6,Low sitting/standing (stationary),Around Mound,Adult,{10;8;3;9;7},{10;8;3;9;0;7}
1,7,None,Around Mound,Pup,{6;10;9;8},{10;8;3;9;6;0}
1,8,None,Around Mound,Pup,{10;3;9;6;7},{10;3;9;0;6;7}
1,9,None,Around Mound,Pup,{10;8;3;6;7},{10;8;3;0;6;7}
1,10,None,Around Mound,Pup,{8;3;9;6;7},{8;3;9;0;6;7}
2,0,Dig burrow,Sand Area,Adult,{},{10;8;3;9;6;7}
2,1,Dig burrow,Sand Area,Adult,{},{}
2,3,Lying/resting (stationary),Around Mound,Adult,{6;10;9;8},{10;8;9;0;6;7}
2,5,Raised Guarding (Vigilant),Mound,Adult,{},{}
2,6,Low sitting/standing (stationary),Around Mound,Adult,{10;8;3;9;7},{10;8;3;9;0;7}
2,7,None,Around Mound,Pup,{6;10;9;8},{10;8;3;9;6;0}
2,8,None,Around Mound,Pup,{10;3;9;6;7},{10;3;9;0;6;7}
2,9,None,Around Mound,Pup,{10;8;3;6;7},{10;8;3;0;6;7}
2,10,None,Around Mound,Pup,{8;3;9;6;7},{8;3;9;0;6;7}
3,0,Dig burrow,Sand Area,Adult,{},{3;6;9;8}
3,1,Dig burrow,Sand Area,Adult,{},{}
3,3,Low sitting/standing (stationary),Around Mound,Adult,{6;10;9;8},{10;8;9;0;6;7}
3,5,Raised Guarding (Vigilant),Mound,Adult,{},{}
3,6,Low sitting/standing (stationary),Around Mound,Adult,{10;8;3;9;7},{10;8;3;9;0;7}
3,7,None,Around Mound,Pup,{6;10;9;8},{10;8;3;9;6}
3,8,None,Around Mound,Pup,{10;3;9;6;7},{10;3;9;0;6;7}
3,9,None,Around Mound,Pup,{10;8;3;6;7},{10;8;3;0;6;7}
3,10,None,Around Mound,Pup,{8;3;9;6;7},{8;3;9;6;7}
4,0,Dig burrow,Sand Area,Adult,{},{3}
4,1,Dig burrow,Sand Area,Adult,{},{}
4,3,Low sitting/standing (stationary),Around Mound,Adult,{6;10;9;8},{10;8;9;0;6;7}
4,5,Raised Guarding (Vigilant),Mound,Adult,{},{}
4,6,Low sitting/standing (stationary),Around Mound,Adult,{10;8;3;9;7},{10;8;3;9;7}
4,7,None,Around Mound,Pup,{6;10;9;8},{10;8;3;9;6}
4,8,None,Around Mound,Pup,{10;3;9;6;7},{10;3;9;6;7}
4,9,None,Around Mound,Pup,{10;8;3;6;7},{10;8;3;6;7}
4,10,None,Around Mound,Pup,{8;3;9;6;7},{8;3;9;6;7}
5,0,Dig burrow,Sand Area,Adult,{},{}
5,1,Low sitting/standing (stationary),Sand Area,Adult,{},{}
5,3,Low sitting/standing (stationary),Around Mound,Adult,{6;10;9;8},{10;8;9;6;7}
5,5,Raised Guarding (Vigilant),Mound,Adult,{},{}
5,6,Low sitting/standing (stationary),Around Mound,Adult,{10;8;3;9;7},{10;8;3;9;7}
5,7,None,Around Mound,Pup,{6;10;9;8},{10;8;3;9;6}
