Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
0,0,Foraging,Foraging,Adult,{1},{1}
0,1,Foraging,Foraging,Adult,{0},{0}
0,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
0,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
0,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
0,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
1,0,Foraging,Foraging,Adult,{1},{1}
1,1,Foraging,Foraging,Adult,{0},{0}
1,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
1,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
1,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
1,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
2,0,Foraging,Foraging,Adult,{1},{1}
2,1,Foraging,Foraging,Adult,{0},{0}
2,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
2,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
2,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
2,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
3,0,Foraging,Foraging,Adult,{1},{1}
3,1,Foraging,Foraging,Adult,{0},{0}
3,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
3,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
3,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
3,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
4,0,Foraging,Foraging,Adult,{1},{1}
4,1,Foraging,Foraging,Adult,{0},{0}
4,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
4,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
4,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
4,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
5,0,Foraging,Foraging,Adult,{1},{1}
5,1,Foraging,Foraging,Adult,{0},{0}
5,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
5,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
5,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
5,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
6,0,Foraging,Foraging,Adult,{1},{1}
6,1,Foraging,Foraging,Adult,{0},{0}
6,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
6,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
6,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
6,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
7,0,Foraging,Foraging,Adult,{1},{1}
7,1,Foraging,Foraging,Adult,{0},{0}
7,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
7,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
7,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
7,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
8,0,Foraging,Foraging,Adult,{1},{1}
8,1,Foraging,Foraging,Adult,{0},{0}
8,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
8,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
8,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
8,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
9,0,Foraging,Foraging,Adult,{1},{1}
9,1,Foraging,Foraging,Adult,{0},{0}
9,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
9,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
9,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
9,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
10,0,Foraging,Foraging,Adult,{1},{1}
10,1,Foraging,Foraging,Adult,{0},{0}
10,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
10,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
10,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
10,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
11,0,Foraging,Foraging,Adult,{1},{1}
11,1,Foraging,Foraging,Adult,{0},{0}
11,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
11,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
11,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
11,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
12,0,Foraging,Foraging,Adult,{1},{1}
12,1,Foraging,Foraging,Adult,{0},{0}
12,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
12,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
12,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
12,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
12,7,Moving,Door,Adult,{},{}
13,0,Foraging,Foraging,Adult,{1},{1}
13,1,Foraging,Foraging,Adult,{0},{0}
13,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
13,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
13,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
13,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
13,7,Moving,Door,Adult,{},{}
14,0,Foraging,Foraging,Adult,{1},{1}
14,1,Foraging,Foraging,Adult,{0},{0}
14,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
14,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
14,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
14,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
14,7,Low sitting/standing (stationary),Door,Adult,{},{}
15,0,Foraging,Foraging,Adult,{1},{1}
15,1,Foraging,Foraging,Adult,{0},{0}
15,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
15,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
15,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
15,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
15,7,Low sitting/standing (stationary),Door,Adult,{},{}
16,0,Foraging,Foraging,Adult,{1},{1}
16,1,Foraging,Foraging,Adult,{0},{0}
16,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
16,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
16,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
16,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
16,7,Low sitting/standing (stationary),Door,Adult,{},{}
17,0,Foraging,Foraging,Adult,{1},{1}
17,1,Foraging,Foraging,Adult,{0},{0}
17,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
17,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
17,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
17,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
17,7,Moving,Door,Adult,{},{}
18,0,Foraging,Foraging,Adult,{1},{1}
18,1,Foraging,Foraging,Adult,{0},{0}
18,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
18,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
18,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
18,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
18,7,Moving,Door,Adult,{},{}
19,0,Foraging,Foraging,Adult,{1},{1}
19,1,Foraging,Foraging,Adult,{0},{0}
19,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
19,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
19,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
19,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
19,7,Moving,Door,Adult,{},{}
20,0,Foraging,Foraging,Adult,{1},{1}
20,1,Foraging,Foraging,Adult,{0},{0}
20,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
20,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
20,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
20,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
20,7,Foraging,Door,Adult,{},{}
21,0,Foraging,Foraging,Adult,{1},{1}
21,1,Foraging,Foraging,Adult,{0},{0}
21,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
21,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
21,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
21,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
21,7,Foraging,Door,Adult,{},{}
22,0,Foraging,Foraging,Adult,{1},{1}
22,1,Foraging,Foraging,Adult,{0},{0}
22,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
22,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
22,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
22,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
22,7,Foraging,Door,Adult,{},{}
23,0,Foraging,Foraging,Adult,{1},{1}
23,1,Foraging,Foraging,Adult,{0},{0}
23,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
23,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
23,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
23,6,Foraging,Foraging,Adult,{3;4;2},{3;4;2}
23,7,Moving,Door,Adult,{},{}
24,0,Foraging,Foraging,Adult,{1},{1}
24,1,Foraging,Foraging,Adult,{0},{0}
24,2,Foraging,Foraging,Adult,{3;6},{3;6;4}
24,3,Foraging,Foraging,Adult,{6;4;2},{6;4;2}
24,4,Foraging,Foraging,Adult,{3;6},{3;6;2}
