Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
0,0,Moving,Foraging,Adult,{1;2},{1;2}
0,1,Foraging,Foraging,Adult,{0;2},{0;2}
0,2,High sitting/standing (Vigilant),Foraging,Adult,{1;0},{1;0}
0,3,Moving,Background,Adult,{},{}
0,4,Raised Guarding (Vigilant),Background,Adult,{},{}
1,0,Moving,Foraging,Adult,{1;2},{1;2}
1,1,Foraging,Foraging,Adult,{0;2},{0;2}
1,2,High sitting/standing (Vigilant),Foraging,Adult,{1;0},{1;0}
1,3,Moving,Background,Adult,{},{}
1,4,Raised Guarding (Vigilant),Background,Adult,{},{}
2,0,Moving,Foraging,Adult,{},{1;2}
2,1,Foraging,Foraging,Adult,{2},{0;2}
2,2,High sitting/standing (Vigilant),Foraging,Adult,{1},{1;0}
2,4,Raised Guarding (Vigilant),Background,Adult,{},{}
3,0,Moving,Foraging,Adult,{},{}
3,1,Moving,Foraging,Adult,{2},{2}
3,2,High sitting/standing (Vigilant),Foraging,Adult,{1},{1}
3,4,Raised Guarding (Vigilant),Background,Adult,{},{}
4,0,Foraging,Foraging,Adult,{},{}
4,2,High sitting/standing (Vigilant),Foraging,Adult,{},{}
4,4,Raised Guarding (Vigilant),Background,Adult,{},{}
5,0,Foraging,Foraging,Adult,{},{}
5,2,High sitting/standing (Vigilant),Foraging,Adult,{},{}
5,4,Raised Guarding (Vigilant),Background,Adult,{},{}
6,0,Foraging,Foraging,Adult,{},{}
6,2,High sitting/standing (Vigilant),Foraging,Adult,{},{}
6,4,Raised Guarding (Vigilant),Background,Adult,{},{}
7,5,Moving,Foraging,Adult,{},{2}
7,0,Foraging,Foraging,Adult,{},{}
7,2,Moving,Foraging,Adult,{},{5}
7,4,Raised Guarding (Vigilant),Background,Adult,{},{}
8,5,Moving,Foraging,Adult,{2},{2}
8,0,Foraging,Foraging,Adult,{},{2}
8,1,Moving,Waiting Area,Adult,{},{}
8,2,Moving,Foraging,Adult,{5},{5;0}
8,4,Raised Guarding (Vigilant),Background,Adult,{},{}
9,5,Moving,Foraging,Adult,{},{2}
9,0,Foraging,Foraging,Adult,{},{2}
9,1,Moving,Waiting Area,Adult,{},{}
9,2,Moving,Foraging,Adult,{},{5;0}
9,4,Raised Guarding (Vigilant),Background,Adult,{},{}
10,0,Foraging,Foraging,Adult,{},{2}
10,1,Foraging,Waiting Area,Adult,{},{}
10,2,Foraging,Foraging,Adult,{},{0}
10,4,Raised Guarding (Vigilant),Background,Adult,{},{}
11,5,Moving,Foraging,Adult,{0},{0;2}
11,0,Foraging,Foraging,Adult,{5},{5;2}
11,1,Foraging,Waiting Area,Adult,{},{}
11,2,Foraging,Foraging,Adult,{},{5;0}
11,4,Raised Guarding (Vigilant),Background,Adult,{},{}
12,5,Low sitting/standing (stationary),Foraging,Adult,{},{0}
12,0,Foraging,Foraging,Adult,{},{5;2}
12,1,Foraging,Waiting Area,Adult,{},{}
12,2,Foraging,Foraging,Adult,{},{0}
12,4,Raised Guarding (Vigilant),Background,Adult,{},{}
13,5,Low sitting/standing (stationary),Foraging,Adult,{},{0}
13,0,Foraging,Foraging,Adult,{},{5;2}
13,1,Moving,Waiting Area,Adult,{},{}
13,2,Foraging,Foraging,Adult,{},{0}
13,4,Raised Guarding (Vigilant),Background,Adult,{},{}
14,5,Low sitting/standing (stationary),Foraging,Adult,{},{0}
14,0,Foraging,Foraging,Adult,{},{5;2}
14,1,Moving,Waiting Area,Adult,{},{}
14,2,Foraging,Foraging,Adult,{},{0}
14,4,Raised Guarding (Vigilant),Background,Adult,{},{}
15,5,Low sitting/standing (stationary),Foraging,Adult,{},{0}
15,0,Foraging,Foraging,Adult,{},{5;2}
15,1,Moving,Waiting Area,Adult,{},{}
15,2,Foraging,Foraging,Adult,{},{0}
15,4,Raised Guarding (Vigilant),Background,Adult,{},{}
16,5,Low sitting/standing (stationary),Foraging,Adult,{},{0}
16,0,Foraging,Foraging,Adult,{},{5;2}
16,1,Moving,Waiting Area,Adult,{},{}
16,2,Foraging,Foraging,Adult,{},{0}
16,4,Raised Guarding (Vigilant),Background,Adult,{},{}
17,5,Low sitting/standing (stationary),Foraging,Adult,{},{0}
17,0,Foraging,Foraging,Adult,{},{5;2}
17,1,Foraging,Waiting Area,Adult,{},{}
17,2,Foraging,Foraging,Adult,{},{0}
17,4,Raised Guarding (Vigilant),Background,Adult,{},{}
18,5,Low sitting/standing (stationary),Foraging,Adult,{},{0}
18,0,Foraging,Foraging,Adult,{},{5;2}
18,1,Foraging,Waiting Area,Adult,{},{}
18,2,Foraging,Foraging,Adult,{},{0}
18,4,Raised Guarding (Vigilant),Background,Adult,{},{}
19,5,Moving,Waiting Area,Adult,{},{0}
19,0,Foraging,Foraging,Adult,{},{5;2}
19,1,Foraging,Waiting Area,Adult,{},{}
19,2,Foraging,Foraging,Adult,{},{0}
19,4,Raised Guarding (Vigilant),Background,Adult,{},{}
20,5,Moving,Waiting Area,Adult,{},{}
20,0,Foraging,Foraging,Adult,{},{2}
20,1,Foraging,Waiting Area,Adult,{},{}
20,2,Foraging,Foraging,Adult,{},{0}
20,4,Raised Guarding (Vigilant),Background,Adult,{},{}
21,5,Moving,Waiting Area,Adult,{},{1}
21,0,Foraging,Foraging,Adult,{},{2}
21,1,Foraging,Waiting Area,Adult,{},{5}
21,2,Foraging,Foraging,Adult,{},{0}
21,4,Raised Guarding (Vigilant),Background,Adult,{},{}
22,5,Foraging,Waiting Area,Adult,{},{1}
22,0,Foraging,Foraging,Adult,{},{2}
22,1,Moving,Waiting Area,Adult,{},{5}
22,2,Foraging,Foraging,Adult,{},{0}
22,4,Raised Guarding (Vigilant),Background,Adult,{},{}
23,5,Foraging,Waiting Area,Adult,{},{1}
23,0,Foraging,Foraging,Adult,{},{2}
23,1,Moving,Waiting Area,Adult,{},{5}
23,2,Foraging,Foraging,Adult,{},{0}
23,4,Raised Guarding (Vigilant),Background,Adult,{},{}
24,5,Foraging,Waiting Area,Adult,{},{}
24,0,Foraging,Foraging,Adult,{},{2}
