Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
0,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
1,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
2,1,Low sitting/standing (stationary),Background,Adult,{},{}
2,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
3,1,Low sitting/standing (stationary),Background,Adult,{},{}
3,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
4,1,Low sitting/standing (stationary),Background,Adult,{},{}
4,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
5,1,Moving,Background,Adult,{},{}
5,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
6,1,Moving,Background,Adult,{},{}
6,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
6,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
7,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
7,3,Moving,Background,Adult,{},{}
7,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
8,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
8,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
9,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
9,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
10,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
10,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
11,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
11,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
12,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
12,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
13,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
13,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
14,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
14,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
15,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
15,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
16,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
16,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
17,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
17,4,Moving,Background,Adult,{},{}
17,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
18,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
18,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
19,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
19,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
20,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
20,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
21,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
21,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
22,2,Low sitting/standing (stationary),Foraging,Adult,{0},{0}
22,0,High sitting/standing (Vigilant),Foraging,Adult,{2},{2}
23,2,Moving,Background,Adult,{},{0}
23,0,High sitting/standing (Vigilant),Foraging,Adult,{},{2}
24,2,Moving,Background,Adult,{},{}
24,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
25,2,Low sitting/standing (stationary),Background,Adult,{},{}
25,0,Low sitting/standing (stationary),Foraging,Adult,{},{}
26,2,Low sitting/standing (stationary),Background,Adult,{},{}
26,0,Low sitting/standing (stationary),Foraging,Adult,{},{}
27,2,Low sitting/standing (stationary),Background,Adult,{},{}
27,0,Low sitting/standing (stationary),Foraging,Adult,{},{}
28,2,Low sitting/standing (stationary),Background,Adult,{},{}
28,0,Low sitting/standing (stationary),Foraging,Adult,{},{}
29,2,Low sitting/standing (stationary),Background,Adult,{},{}
29,0,Low sitting/standing (stationary),Foraging,Adult,{},{}
30,2,Low sitting/standing (stationary),Background,Adult,{},{}
30,0,Moving,Foraging,Adult,{},{}
31,2,Low sitting/standing (stationary),Background,Adult,{},{}
32,2,Low sitting/standing (stationary),Background,Adult,{},{}
32,0,Low sitting/standing (stationary),Foraging,Adult,{},{}
33,2,Low sitting/standing (stationary),Background,Adult,{},{}
33,0,Low sitting/standing (stationary),Foraging,Adult,{},{}
34,2,Moving,Background,Adult,{},{}
34,0,Low sitting/standing (stationary),Foraging,Adult,{},{}
35,2,Low sitting/standing (stationary),Background,Adult,{},{}
35,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
36,2,Low sitting/standing (stationary),Background,Adult,{},{}
36,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
37,2,Low sitting/standing (stationary),Background,Adult,{},{}
37,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
38,2,Low sitting/standing (stationary),Background,Adult,{},{}
38,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
39,2,Low sitting/standing (stationary),Background,Adult,{},{}
39,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
40,2,Moving,Background,Adult,{},{}
40,0,Low sitting/standing (stationary),Foraging,Adult,{},{}
41,0,Low sitting/standing (stationary),Foraging,Adult,{},{}
42,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
43,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
44,0,High sitting/standing (Vigilant),Foraging,Adult,{},{}
45,0,Moving,Foraging,Adult,{},{}
46,0,Moving,Background,Adult,{},{}
48,0,Moving,Background,Adult,{},{}
55,5,Moving,Background,Adult,{},{}
57,6,Moving,Background,Adult,{},{}
59,6,Moving,Background,Adult,{},{}
60,6,Moving,Foraging,Adult,{},{}
61,6,High sitting/standing (Vigilant),Foraging,Adult,{},{}
62,6,High sitting/standing (Vigilant),Foraging,Adult,{},{}
63,6,Low sitting/standing (stationary),Foraging,Adult,{},{}
64,6,Moving,Foraging,Adult,{},{}
65,6,Moving,Foraging,Adult,{},{}
66,6,Low sitting/standing (stationary),Foraging,Adult,{},{}
67,6,Low sitting/standing (stationary),Foraging,Adult,{},{}
68,6,Low sitting/standing (stationary),Foraging,Adult,{},{}
69,6,Low sitting/standing (stationary),Foraging,Adult,{},{}
70,6,Low sitting/standing (stationary),Foraging,Adult,{},{}
71,6,Low sitting/standing (stationary),Foraging,Adult,{},{}
72,6,Low sitting/standing (stationary),Foraging,Adult,{},{}
73,6,Low sitting/standing (stationary),Foraging,Adult,{},{}
74,6,Moving,Background,Adult,{},{}
94,8,Moving,Background,Adult,{},{}
104,9,Moving,Background,Adult,{},{}
105,9,Moving,Background,Adult,{},{}
113,11,Low sitting/standing (stationary),Foraging,Adult,{},{}
114,5,Low sitting/standing (stationary),Background,Adult,{},{}
114,11,Low sitting/standing (stationary),Foraging,Adult,{},{}
115,5,Low sitting/standing (stationary),Background,Adult,{},{}
115,11,Low sitting/standing (stationary),Foraging,Adult,{},{}
116,5,Low sitting/standing (stationary),Background,Adult,{},{}
116,11,Low sitting/standing (stationary),Foraging,Adult,{},{}
117,5,Low sitting/standing (stationary),Background,Adult,{},{}
117,11,High sitting/standing (Vigilant),Foraging,Adult,{},{}
118,5,Low sitting/standing (stationary),Background,Adult,{},{}
118,11,High sitting/standing (Vigilant),Foraging,Adult,{},{}
119,5,Low sitting/standing (stationary),Background,Adult,{},{}
119,11,High sitting/standing (Vigilant),Foraging,Adult,{},{}
120,5,Low sitting/standing (stationary),Background,Adult,{},{}
120,11,Low sitting/standing (stationary),Foraging,Adult,{},{}
121,5,Low sitting/standing (stationary),Background,Adult,{},{}
121,11,Low sitting/standing (stationary),Foraging,Adult,{},{}
122,5,Low sitting/standing (stationary),Background,Adult,{},{}
122,11,Moving,Foraging,Adult,{},{}
123,5,Low sitting/standing (stationary),Background,Adult,{},{11}
