Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
0,0,Foraging,Foraging,Adult,{1},{1}
0,1,Foraging,Foraging,Adult,{0},{0}
0,2,Foraging,Foraging,Adult,{},{7}
0,3,Interacting with foreign object,Background,Adult,{},{}
0,5,Foraging,Background,Adult,{6},{6}
0,6,Moving,Background,Adult,{5},{5}
0,7,Low sitting/standing (stationary),Foraging,Adult,{},{2}
1,0,Foraging,Foraging,Adult,{1},{1}
1,1,Foraging,Foraging,Adult,{0},{0}
1,2,Foraging,Foraging,Adult,{4},{4;7}
1,3,Interacting with foreign object,Background,Adult,{},{}
1,4,Foraging,Foraging,Adult,{2},{2}
1,5,Foraging,Background,Adult,{6},{6}
1,6,Moving,Background,Adult,{5},{5}
1,7,Low sitting/standing (stationary),Foraging,Adult,{},{2}
2,0,Foraging,Foraging,Adult,{1},{1}
2,1,Foraging,Foraging,Adult,{0},{0}
2,2,Foraging,Foraging,Adult,{4},{4;7}
2,3,Interacting with foreign object,Background,Adult,{},{}
2,4,Foraging,Foraging,Adult,{2},{2}
2,5,Foraging,Background,Adult,{6},{6}
2,6,Moving,Background,Adult,{5},{5}
2,7,Low sitting/standing (stationary),Foraging,Adult,{},{2}
3,0,Foraging,Foraging,Adult,{1},{1}
3,1,Foraging,Foraging,Adult,{0},{0}
3,2,Foraging,Foraging,Adult,{4},{4;7}
3,3,Interacting with foreign object,Background,Adult,{},{}
3,4,Foraging,Foraging,Adult,{2},{2}
3,5,Foraging,Background,Adult,{6},{6}
3,6,Moving,Background,Adult,{5},{5}
3,7,Low sitting/standing (stationary),Foraging,Adult,{},{2}
4,0,Foraging,Foraging,Adult,{1},{1}
4,1,Foraging,Foraging,Adult,{0},{0}
4,2,Foraging,Foraging,Adult,{4},{4;7}
4,3,Interacting with foreign object,Background,Adult,{},{}
4,4,Foraging,Foraging,Adult,{2},{2}
4,5,Foraging,Background,Adult,{6},{6}
4,6,Moving,Background,Adult,{5},{5}
4,7,Low sitting/standing (stationary),Foraging,Adult,{},{2}
5,0,Foraging,Foraging,Adult,{1},{1}
5,1,Foraging,Foraging,Adult,{0},{0}
5,2,Foraging,Foraging,Adult,{4},{4;7}
5,3,Interacting with foreign object,Background,Adult,{},{}
5,4,Foraging,Foraging,Adult,{2},{2}
5,5,Foraging,Background,Adult,{6},{6}
5,6,Moving,Background,Adult,{5},{5}
5,7,Allogroom,Foraging,Adult,{},{2}
6,0,Foraging,Foraging,Adult,{1},{1}
6,1,Foraging,Foraging,Adult,{0},{0}
6,2,Foraging,Foraging,Adult,{4},{4;7}
6,3,Interacting with foreign object,Background,Adult,{},{}
6,4,Foraging,Foraging,Adult,{2},{2}
6,5,Foraging,Background,Adult,{},{6}
6,6,Moving,Background,Adult,{},{5}
6,7,Allogroom,Foraging,Adult,{},{2}
7,0,Foraging,Foraging,Adult,{1},{1}
7,1,Foraging,Foraging,Adult,{0},{0}
7,2,Foraging,Foraging,Adult,{4},{4;7}
7,3,Interacting with foreign object,Background,Adult,{},{}
7,4,Foraging,Foraging,Adult,{2},{2}
7,5,Foraging,Background,Adult,{},{}
7,6,Moving,Background,Adult,{},{}
7,7,Allogroom,Foraging,Adult,{},{2}
8,0,Foraging,Foraging,Adult,{1},{1}
8,1,Foraging,Foraging,Adult,{0},{0}
8,2,Foraging,Foraging,Adult,{4},{4;7}
8,3,Interacting with foreign object,Background,Adult,{},{}
8,4,Foraging,Foraging,Adult,{2},{2}
8,5,Foraging,Background,Adult,{},{}
8,6,Low sitting/standing (stationary),Background,Adult,{},{}
8,7,Allogroom,Foraging,Adult,{},{2}
9,0,Foraging,Foraging,Adult,{1},{1}
9,1,Foraging,Foraging,Adult,{0},{0}
9,2,Foraging,Foraging,Adult,{},{4;7}
9,3,Interacting with foreign object,Background,Adult,{},{}
9,4,Foraging,Foraging,Adult,{},{2}
9,5,Foraging,Background,Adult,{},{}
9,6,Low sitting/standing (stationary),Background,Adult,{},{}
9,7,Allogroom,Foraging,Adult,{},{2}
10,0,Foraging,Foraging,Adult,{1},{1}
10,1,Foraging,Foraging,Adult,{0},{0}
10,2,Foraging,Foraging,Adult,{},{4;7}
10,3,Interacting with foreign object,Background,Adult,{},{}
10,4,Foraging,Foraging,Adult,{},{2}
10,5,Foraging,Background,Adult,{},{}
10,6,Low sitting/standing (stationary),Background,Adult,{},{}
10,7,Allogroom,Foraging,Adult,{},{2}
11,0,Foraging,Foraging,Adult,{1},{1}
11,1,Foraging,Foraging,Adult,{0},{0}
11,2,Foraging,Foraging,Adult,{},{4;7}
11,3,Interacting with foreign object,Background,Adult,{},{}
11,4,Foraging,Foraging,Adult,{},{2}
11,5,Foraging,Background,Adult,{},{}
11,6,Moving,Background,Adult,{},{}
11,7,Allogroom,Foraging,Adult,{},{2}
12,0,Foraging,Foraging,Adult,{1},{1}
12,1,Foraging,Foraging,Adult,{0},{0}
12,2,Foraging,Foraging,Adult,{},{4;7}
12,3,Interacting with foreign object,Background,Adult,{},{}
12,4,Foraging,Foraging,Adult,{},{2}
12,5,Low sitting/standing (stationary),Background,Adult,{},{}
12,7,Allogroom,Foraging,Adult,{},{2}
13,0,Foraging,Foraging,Adult,{1},{1}
13,1,Foraging,Foraging,Adult,{0},{0}
13,2,Foraging,Foraging,Adult,{},{4;7}
13,3,Interacting with foreign object,Background,Adult,{},{}
13,4,Foraging,Foraging,Adult,{},{2}
13,5,Low sitting/standing (stationary),Background,Adult,{},{}
13,7,Allogroom,Foraging,Adult,{},{2}
14,0,Foraging,Foraging,Adult,{1},{1}
14,1,Foraging,Foraging,Adult,{0},{0}
14,2,Foraging,Foraging,Adult,{},{4;7}
14,3,Interacting with foreign object,Background,Adult,{},{}
14,4,Foraging,Foraging,Adult,{},{2}
14,5,Low sitting/standing (stationary),Background,Adult,{},{}
14,6,Moving,Foraging,Adult,{7},{7}
14,7,Allogroom,Foraging,Adult,{6},{6;2}
15,0,Foraging,Foraging,Adult,{1},{1}
15,1,Foraging,Foraging,Adult,{0},{0}
15,2,Foraging,Foraging,Adult,{},{6;4;7}
15,3,Interacting with foreign object,Background,Adult,{},{}
15,4,Foraging,Foraging,Adult,{},{2}
15,5,Foraging,Background,Adult,{},{}
15,6,Moving,Foraging,Adult,{7},{7;2}
15,7,Allogroom,Foraging,Adult,{6},{6;2}
16,0,Foraging,Foraging,Adult,{1},{1}
16,1,Foraging,Foraging,Adult,{0},{0}
16,2,Foraging,Foraging,Adult,{},{6;4;7}
16,3,Interacting with foreign object,Background,Adult,{},{}
16,4,Foraging,Foraging,Adult,{},{2}
16,5,Foraging,Background,Adult,{},{}
16,6,Moving,Foraging,Adult,{7},{7;2}
16,7,Allogroom,Foraging,Adult,{6},{6;2}
17,0,Foraging,Foraging,Adult,{},{1}
17,1,Foraging,Foraging,Adult,{},{0}
17,2,Foraging,Foraging,Adult,{},{6;4;7}
17,3,Interacting with foreign object,Background,Adult,{},{}
17,4,Foraging,Foraging,Adult,{},{2}
17,5,Foraging,Background,Adult,{},{}
17,6,Moving,Foraging,Adult,{7},{7;2}
17,7,Allogroom,Foraging,Adult,{6},{6;2}
18,0,Foraging,Foraging,Adult,{},{1}
18,1,Foraging,Foraging,Adult,{},{0}
18,2,Foraging,Foraging,Adult,{6},{6;4;7}
18,3,Interacting with foreign object,Background,Adult,{},{}
18,4,Foraging,Foraging,Adult,{},{2}
18,5,Foraging,Background,Adult,{},{}
18,6,Moving,Foraging,Adult,{7;2},{7;2}
18,7,Allogroom,Foraging,Adult,{6},{6;2}
19,0,Foraging,Foraging,Adult,{},{1}
19,1,Foraging,Foraging,Adult,{},{0}
19,2,Foraging,Foraging,Adult,{},{6;4;7}
19,3,Interacting with foreign object,Background,Adult,{},{}
19,4,Foraging,Foraging,Adult,{},{2}
19,5,Foraging,Background,Adult,{},{}
19,6,Moving,Foraging,Adult,{7},{7;2}
19,7,Allogroom,Foraging,Adult,{6},{6;2}
20,0,Foraging,Foraging,Adult,{},{1}
20,1,Foraging,Foraging,Adult,{},{0}
20,2,Foraging,Foraging,Adult,{4},{6;4;7}
20,3,Interacting with foreign object,Background,Adult,{},{}
20,4,Foraging,Foraging,Adult,{2},{2}
20,5,Foraging,Background,Adult,{},{}
20,6,Moving,Foraging,Adult,{7},{7;2}
20,7,Allogroom,Foraging,Adult,{6},{6;2}
21,0,Foraging,Foraging,Adult,{},{1}
21,1,Foraging,Foraging,Adult,{},{0}
21,2,Foraging,Foraging,Adult,{},{6;7}
21,3,Interacting with foreign object,Background,Adult,{},{}
21,5,Foraging,Background,Adult,{},{}
21,6,Moving,Foraging,Adult,{7},{7;2}
21,7,Allogroom,Foraging,Adult,{6},{6;2}
22,0,Foraging,Foraging,Adult,{1},{1}
22,1,Foraging,Foraging,Adult,{0},{0}
22,2,Foraging,Foraging,Adult,{},{6;7}
22,3,Interacting with foreign object,Background,Adult,{},{}
22,5,Foraging,Background,Adult,{},{}
22,6,Moving,Foraging,Adult,{7},{7;2}
22,7,Allogroom,Foraging,Adult,{6},{6;2}
23,0,Foraging,Foraging,Adult,{},{1}
23,1,Foraging,Foraging,Adult,{},{0}
23,2,Foraging,Foraging,Adult,{},{6;7}
23,3,Interacting with foreign object,Background,Adult,{},{}
23,5,Foraging,Background,Adult,{},{}
23,6,Moving,Foraging,Adult,{7},{7;2}
23,7,Allogroom,Foraging,Adult,{6},{6;2}
