Time,ID,Behaviour,Zone,Close_neighbours,Distant_neighbours
238,12,Moving,Foraging,{6},{14;6}
238,13,Moving,Waiting Area,{},{}
238,14,Moving,Waiting Area,{},{6;12}
238,16,High sitting/standing (Vigilant),Waiting Area,{},{}
238,17,Moving,Waiting Area,{},{}
238,18,Moving,Waiting Area,{},{}
238,20,Moving,Waiting Area,{},{}
239,6,Low sitting/standing (stationary),Foraging,{},{}
239,12,Moving,Waiting Area,{14},{14}
239,13,Moving,Waiting Area,{},{}
239,14,Moving,Waiting Area,{12},{12}
239,16,Moving,Waiting Area,{},{}
239,17,Moving,Waiting Area,{},{}
239,19,Moving,Waiting Area,{},{}
240,6,Moving,Foraging,{},{}
240,12,Moving,Foraging,{21},{14;21}
240,13,Moving,Waiting Area,{19;17},{19;14;17}
240,14,Moving,Waiting Area,{17},{13;19;12;21;17}
240,16,Moving,Waiting Area,{},{}
240,17,Moving,Waiting Area,{13;14;19},{13;14;19}
240,19,Moving,Waiting Area,{13;17},{13;14;17}
240,21,High sitting/standing (Vigilant),Waiting Area,{12},{14;12}
241,6,Moving,Foraging,{},{}
241,12,Low sitting/standing (stationary),Foraging,{},{}
241,14,Moving,Waiting Area,{16},{16;19;17}
241,16,Moving,Waiting Area,{14},{14}
241,17,Low sitting/standing (stationary),Waiting Area,{},{19;14}
241,19,Moving,Waiting Area,{},{21;14;17}
241,21,High sitting/standing (Vigilant),Waiting Area,{},{19}
242,6,Moving,Foraging,{},{}
242,12,Low sitting/standing (stationary),Foraging,{},{}
242,14,Moving,Waiting Area,{17},{16;19;17}
242,16,Moving,Waiting Area,{17},{14;17}
242,17,High sitting/standing (Vigilant),Waiting Area,{16;14},{16;14}
242,19,Low sitting/standing (stationary),Waiting Area,{21},{14;21}
242,21,High sitting/standing (Vigilant),Waiting Area,{19},{19}
243,6,Moving,Foraging,{},{19;22;21}
243,12,High sitting/standing (Vigilant),Foraging,{},{}
243,14,Human Interaction,Waiting Area,{17},{16;17}
243,16,Moving,Waiting Area,{22},{19;14;21;22;17}
243,17,High sitting/standing (Vigilant),Waiting Area,{14},{16;14}
243,19,Moving,Waiting Area,{22;21},{16;22;21;6}
243,21,High sitting/standing (Vigilant),Waiting Area,{19;22},{16;19;6;22}
243,22,Moving,Waiting Area,{16;19;21},{16;19;21;6}
244,6,Moving,Foraging,{},{16;19;21;12}
244,12,High sitting/standing (Vigilant),Foraging,{},{6}
244,14,Human Interaction,Waiting Area,{},{16;17}
244,16,Moving,Waiting Area,{},{19;14;21;17;6}
244,17,Low sitting/standing (stationary),Waiting Area,{},{16;14}
244,19,Moving,Waiting Area,{21},{16;21;6}
244,21,High sitting/standing (Vigilant),Waiting Area,{19},{16;19;6}
244,22,Moving,Waiting Area,{},{}
245,6,Moving,Foraging,{},{19;22;21;12}
245,12,High sitting/standing (Vigilant),Foraging,{},{6}
245,14,Moving,Waiting Area,{},{16;17}
245,16,Moving,Waiting Area,{},{19;14;21}
245,17,Low sitting/standing (stationary),Waiting Area,{},{14}
245,19,Human Interaction,Waiting Area,{21},{16;22;21;6}
245,21,Moving,Waiting Area,{19},{16;19;6;22}
245,22,Moving,Waiting Area,{},{19;21;6}
246,6,Moving,Foraging,{},{19;22;21;12}
246,12,Moving,Foraging,{},{19;21;6}
246,14,Moving,Waiting Area,{16},{16;21;19;17}
246,16,Moving,Waiting Area,{14;21},{19;14;21}
246,17,Moving,Waiting Area,{},{14}
246,19,Human Interaction,Waiting Area,{21},{12;14;21;22;6;16}
246,21,Human Interaction,Waiting Area,{16;19},{19;12;14;22;6;16}
246,22,Moving,Waiting Area,{},{19;21;6}
247,14,Moving,Waiting Area,{16;21;17},{19;21;22;17;16}
247,16,Moving,Waiting Area,{19;14;21;17},{19;14;21;22;17}
247,17,Moving,Waiting Area,{16;14},{16;14;19;21}
247,19,Human Interaction,Waiting Area,{16;22;21},{14;21;22;17;16}
247,21,Human Interaction,Waiting Area,{16;14;19},{19;14;22;17;16}
247,22,Low sitting/standing (stationary),Waiting Area,{19},{16;14;19;21}
248,14,Moving,Waiting Area,{},{16;21}
248,16,Moving,Waiting Area,{21},{19;14;22;21}
248,19,Human Interaction,Waiting Area,{22;21;24},{16;22;21;24}
248,21,Human Interaction,Waiting Area,{16;19},{19;14;24;22;16}
248,22,Low sitting/standing (stationary),Waiting Area,{19;24},{16;19;21;24}
248,23,Moving,Foraging,{},{}
248,24,Moving,Waiting Area,{19;22},{19;22;21}
249,14,Moving,Waiting Area,{},{21}
249,16,Moving,Waiting Area,{},{}
249,19,Human Interaction,Waiting Area,{22;21},{22;21;23;24}
249,21,Human Interaction,Waiting Area,{19;22},{19;14;22}
249,22,Interacting with foreign object,Waiting Area,{19;21},{19;23;21;24}
249,23,Moving,Waiting Area,{},{19;22;24}
249,24,Moving,Waiting Area,{},{19;22;23}
250,16,Moving,Waiting Area,{19;24},{19;22;21;24}
250,19,Human Interaction,Waiting Area,{16;22;21;24},{16;22;21;24}
250,21,Human Interaction,Waiting Area,{19;22},{16;19;24;22}
250,22,Interacting with foreign object,Waiting Area,{19;24;21},{16;19;21;24}
250,24,Low sitting/standing (stationary),Waiting Area,{16;19;22},{16;19;21;22}
251,16,Moving,Waiting Area,{24},{19;22;21;24}
251,19,Human Interaction,Waiting Area,{22;21;24},{16;22;21;24}
251,21,Human Interaction,Waiting Area,{19;24},{16;19;24;22}
251,22,Interacting with foreign object,Waiting Area,{19;24},{16;19;21;24}
251,24,Moving,Waiting Area,{16;19;21;22},{16;19;21;22}
251,25,Human Interaction,Waiting Area,{},{}
252,16,Human Interaction,Waiting Area,{24},{19;24;21}
252,19,Human Interaction,Waiting Area,{24;21},{16;24;21}
252,21,Human Interaction,Waiting Area,{19;24},{16;19;24}
252,24,High sitting/standing (Vigilant),Waiting Area,{16;19;21},{16;19;21}
252,25,Moving,Waiting Area,{},{}
253,16,Human Interaction,Waiting Area,{24},{24;21}
253,21,Human Interaction,Waiting Area,{24},{16;24}
253,24,Human Interaction,Waiting Area,{16;21},{16;21}
253,25,Moving,Waiting Area,{},{}
254,16,Human Interaction,Waiting Area,{24},{24;21}
254,21,Human Interaction,Waiting Area,{24},{16;24}
254,24,Human Interaction,Waiting Area,{16;21},{16;21}
254,25,Moving,Waiting Area,{},{}
255,16,Human Interaction,Waiting Area,{24},{24;21}
255,21,Human Interaction,Waiting Area,{24},{16;24}
255,24,Human Interaction,Waiting Area,{16;21},{16;21}
255,25,Moving,Waiting Area,{},{}
255,26,Moving,Waiting Area,{},{}
256,21,Huddle,Waiting Area,{28;24;29},{27;30;29;24;28}
256,24,Low sitting/standing (stationary),Waiting Area,{28;21},{27;21;30;29;28}
256,25,Moving,Waiting Area,{},{27}
256,26,Moving,Waiting Area,{},{}
256,27,Moving,Waiting Area,{},{21;30;29;24;28;25}
256,28,Interacting with foreign object,Waiting Area,{24;21;29},{27;21;30;29;24}
256,29,Interacting with foreign object,Waiting Area,{28;21;30},{27;21;30;24;28}
256,30,Interacting with foreign object,Waiting Area,{29},{27;21;29;24;28}
257,21,Huddle,Waiting Area,{28;24;31},{31;30;29;24;28}
257,24,High sitting/standing (Vigilant),Waiting Area,{28;31;21},{31;21;30;29;28}
257,26,Low sitting/standing (stationary),Waiting Area,{},{}
257,27,Moving,Waiting Area,{},{}
257,28,Interacting with foreign object,Waiting Area,{31;21;30;29;24},{31;21;30;29;24}
257,29,Moving,Waiting Area,{28;31;30},{31;21;30;24;28}
257,30,Interacting with foreign object,Waiting Area,{28;31;29},{31;21;29;24;28}
257,31,Interacting with foreign object,Waiting Area,{21;30;29;24;28},{21;30;29;24;28}
258,21,Moving,Waiting Area,{28;24;31},{31;30;29;24;28;32}
258,24,High sitting/standing (Vigilant),Waiting Area,{28;31;21},{28;32;31;21}
258,26,Low sitting/standing (stationary),Waiting Area,{},{}
258,27,Moving,Waiting Area,{},{}
258,28,Interacting with foreign object,Waiting Area,{31;21;30;29;24;32},{31;21;30;29;24;32}
258,29,Moving,Waiting Area,{28;32;31;30},{31;21;30;28;32}
258,30,Interacting with foreign object,Waiting Area,{28;32;31;29},{31;21;29;28;32}
258,31,Interacting with foreign object,Waiting Area,{21;30;29;24;28;32},{21;30;29;24;28;32}
258,32,Low sitting/standing (stationary),Waiting Area,{28;31;30;29},{21;30;29;31;24;28}
259,21,Moving,Waiting Area,{28;24;31},{31;30;24;28;32}
259,24,High sitting/standing (Vigilant),Waiting Area,{21},{28;31;21}
259,26,Moving,Waiting Area,{},{}
259,27,Moving,Waiting Area,{},{}
259,28,Interacting with foreign object,Waiting Area,{32;31;21;30},{31;21;30;29;24;32}
259,29,High sitting/standing (Vigilant),Waiting Area,{32;30},{28;32;31;30}
259,30,Interacting with foreign object,Waiting Area,{28;32;29},{31;21;29;28;32}
259,31,Interacting with foreign object,Waiting Area,{28;32;21},{21;30;29;24;28;32}
259,32,Low sitting/standing (stationary),Waiting Area,{28;31;30;29},{31;21;30;29;28}
260,21,Moving,Waiting Area,{28;24;31},{31;30;24;28;32}
260,24,High sitting/standing (Vigilant),Waiting Area,{31;21},{28;31;21}
260,26,Moving,Waiting Area,{},{27}
260,27,Foraging,Waiting Area,{},{26}
260,28,Interacting with foreign object,Waiting Area,{32;31;21;30},{31;21;30;29;24;32}
260,29,Moving,Waiting Area,{32;30},{28;32;31;30}
260,30,Interacting with foreign object,Waiting Area,{28;32;29},{31;21;29;28;32}
260,31,Interacting with foreign object,Waiting Area,{28;32;24;21},{21;30;29;24;28;32}
260,32,Moving,Waiting Area,{28;31;30;29},{31;21;30;29;28}
261,21,Huddle,Waiting Area,{28;32;24;31},{31;30;24;28;32}
261,24,Moving,Waiting Area,{31;21},{28;31;21}
261,26,Low sitting/standing (stationary),Waiting Area,{30;29},{28;32;30;29}
261,27,Foraging,Waiting Area,{},{}
261,28,Interacting with foreign object,Waiting Area,{32;31;21;30},{21;30;29;31;24;32;26}
261,29,Moving,Waiting Area,{32;26;30},{31;30;28;32;26}
261,30,Interacting with foreign object,Waiting Area,{28;32;26;29},{31;21;29;28;32;26}
261,31,Interacting with foreign object,Waiting Area,{28;32;24;21},{21;30;29;24;28;32}
261,32,Moving,Waiting Area,{31;21;30;29;28},{21;30;29;31;28;26}
262,21,Huddle,Waiting Area,{28;32;31},{28;32;31;30}
262,24,Moving,Waiting Area,{},{}
262,26,Moving,Waiting Area,{30},{28;32;31;30}
262,27,Foraging,Waiting Area,{29},{29}
262,28,Interacting with foreign object,Waiting Area,{32;31;21;30},{31;21;30;32;26}
262,29,Moving,Waiting Area,{27},{27}
262,30,Interacting with foreign object,Waiting Area,{28;32;31;26},{31;21;28;32;26}
262,31,Interacting with foreign object,Waiting Area,{28;32;21;30},{21;30;28;32;26}
262,32,Low sitting/standing (stationary),Waiting Area,{28;31;21;30},{31;21;30;28;26}
263,21,Moving,Waiting Area,{28;32;31},{28;32;31;30}
263,24,Low sitting/standing (stationary),Waiting Area,{},{}
263,26,Moving,Foraging,{32;30},{28;32;31;30}
263,27,Foraging,Waiting Area,{},{}
263,28,Interacting with foreign object,Waiting Area,{32;31;21;30},{31;21;30;32;26}
263,29,Moving,Waiting Area,{},{}
263,30,Interacting with foreign object,Waiting Area,{28;32;26},{31;21;28;32;26}
263,31,Interacting with foreign object,Waiting Area,{28;32;21},{21;30;28;32;26}
263,32,Low sitting/standing (stationary),Waiting Area,{31;21;30;28;26},{31;21;30;28;26}
264,24,Low sitting/standing (stationary),Waiting Area,{},{}
264,26,Interacting with foreign object,Foraging,{28;32;31;30},{28;32;31;30}
264,27,Foraging,Waiting Area,{},{}
264,28,Interacting with foreign object,Waiting Area,{32;31;26;30},{32;31;26;30}
264,29,Moving,Waiting Area,{},{}
264,30,Interacting with foreign object,Waiting Area,{28;32;26},{28;32;31;26}
264,31,Interacting with foreign object,Waiting Area,{28;32;26},{28;32;26;30}
264,32,Moving,Waiting Area,{28;31;26;30},{28;31;26;30}
265,24,Moving,Waiting Area,{},{}
265,26,Interacting with foreign object,Foraging,{28;32;31},{31;30;28;32;33}
265,27,Foraging,Waiting Area,{},{}
265,28,Interacting with foreign object,Waiting Area,{32;31;26;30},{31;30;32;26;33}
265,29,Moving,Waiting Area,{},{}
265,30,Interacting with foreign object,Waiting Area,{28;32},{31;28;32;26;33}
265,31,Interacting with foreign object,Waiting Area,{28;32;26},{30;28;32;26;33}
265,32,Moving,Waiting Area,{28;31;26;30},{31;30;28;26;33}
265,33,Interacting with foreign object,Foraging,{},{31;30;28;32;26}
266,24,High sitting/standing (Vigilant),Waiting Area,{},{}
266,26,Interacting with foreign object,Waiting Area,{28;32;31;34},{34;31;30;28;32;33}
266,27,Foraging,Waiting Area,{},{}
266,28,Interacting with foreign object,Waiting Area,{34;31;30;32;26},{34;31;30;32;26;33}
266,30,Interacting with foreign object,Waiting Area,{28;32;34},{34;31;28;32;26;33}
266,31,Interacting with foreign object,Waiting Area,{28;32;26;34},{34;30;28;32;26;33}
266,32,Interacting with foreign object,Waiting Area,{34;31;30;28;26},{34;31;30;28;26;33}
266,33,Interacting with foreign object,Foraging,{},{34;31;30;28;32;26}
266,34,Moving,Waiting Area,{31;30;28;32;26},{31;30;28;32;26;33}
267,24,High sitting/standing (Vigilant),Waiting Area,{},{}
267,26,Human Interaction,Waiting Area,{28;32;31;34},{34;31;30;28;32;33}
267,27,Foraging,Waiting Area,{},{}
267,28,Interacting with foreign object,Waiting Area,{34;31;30;32;26},{34;31;30;32;26;33}
267,30,Interacting with foreign object,Waiting Area,{28;32;34},{34;31;28;32;26;33}
267,31,Interacting with foreign object,Waiting Area,{28;32;26},{34;30;28;32;26;33}
267,32,Moving,Waiting Area,{34;31;30;28;26},{34;31;30;28;26;33}
267,33,Interacting with foreign object,Foraging,{},{34;31;30;28;32;26}
267,34,Moving,Waiting Area,{28;32;26;30},{31;30;28;32;26;33}
268,24,High sitting/standing (Vigilant),Waiting Area,{},{}
268,26,Human Interaction,Waiting Area,{28;32;31;34},{34;31;30;28;32;33}
268,27,Foraging,Waiting Area,{},{}
268,28,Interacting with foreign object,Waiting Area,{34;31;30;32;26},{34;31;30;32;26;33}
268,30,Interacting with foreign object,Waiting Area,{28;32;34},{34;31;28;32;26;33}
268,31,Moving,Waiting Area,{28;34;26},{34;30;28;32;26;33}
268,32,Human Interaction,Foraging,{28;34;26;30},{34;31;30;28;26;33}
268,33,Interacting with foreign object,Foraging,{},{34;31;30;28;32;26}
268,34,Interacting with foreign object,Waiting Area,{31;30;28;32;26},{31;30;28;32;26;33}
269,24,Moving,Waiting Area,{},{}
269,26,Human Interaction,Waiting Area,{28;32;31;34},{34;31;30;28;32;33}
269,27,Foraging,Waiting Area,{},{}
269,28,Interacting with foreign object,Waiting Area,{34;31;26},{34;31;30;32;26;33}
269,30,Interacting with foreign object,Waiting Area,{34;32},{34;31;28;32;26;33}
269,31,Moving,Waiting Area,{28;34;26},{34;30;28;32;26;33}
269,32,Human Interaction,Foraging,{34;26;30},{34;31;30;28;26;33}
269,33,Interacting with foreign object,Foraging,{},{34;31;30;28;32;26}
269,34,Interacting with foreign object,Waiting Area,{31;30;28;32;26},{31;30;28;32;26;33}
270,24,Moving,Waiting Area,{},{}
270,26,Moving,Foraging,{28;34;31},{34;31;30;28;32}
270,27,Foraging,Waiting Area,{},{}
270,28,Interacting with foreign object,Waiting Area,{34;31;26},{34;31;30;32;26}
270,30,Interacting with foreign object,Waiting Area,{34;32},{28;32;26;34}
270,31,Moving,Waiting Area,{28;26},{28;34;26}
270,32,Moving,Foraging,{34;30},{28;34;26;30}
270,34,Interacting with foreign object,Waiting Area,{28;32;26;30},{31;30;28;32;26}
271,24,Moving,Waiting Area,{},{}
271,26,Interacting with foreign object,Foraging,{},{34;31;30;28;32}
271,27,Foraging,Waiting Area,{},{}
271,28,Interacting with foreign object,Waiting Area,{34;31},{34;31;30;32;26}
271,30,Interacting with foreign object,Waiting Area,{34;32},{28;32;26;34}
271,31,Moving,Foraging,{28},{28;34;26}
271,32,Moving,Waiting Area,{34;30},{28;34;26;30}
271,34,Interacting with foreign object,Waiting Area,{28;32;30},{31;30;28;32;26}
272,24,Low sitting/standing (stationary),Waiting Area,{},{}
272,26,Interacting with foreign object,Foraging,{31},{28;34;31}
272,27,Foraging,Waiting Area,{},{}
272,28,Interacting with foreign object,Waiting Area,{34;31},{34;31;26;30}
272,30,Moving,Waiting Area,{34;32},{28;32;31;34}
272,31,Interacting with foreign object,Foraging,{28;26},{28;34;26;30}
272,32,Moving,Waiting Area,{34;30},{34;30}
272,34,Interacting with foreign object,Waiting Area,{28;32;30},{31;30;28;32;26}
273,24,Low sitting/standing (stationary),Waiting Area,{},{}
273,26,Interacting with foreign object,Foraging,{31},{28;34;31}
273,27,Foraging,Waiting Area,{30},{30}
273,28,Interacting with foreign object,Waiting Area,{34;31},{34;31;26}
273,30,Moving,Waiting Area,{27},{27}
273,31,Interacting with foreign object,Foraging,{28;26},{28;34;26}
273,32,Moving,Waiting Area,{34},{34}
273,34,Interacting with foreign object,Waiting Area,{28;32},{28;32;31;26}
274,24,Moving,Waiting Area,{},{}
274,26,Interacting with foreign object,Foraging,{},{28;34;31}
274,27,Foraging,Waiting Area,{},{28;34;30}
274,28,Interacting with foreign object,Waiting Area,{31},{34;27;31;26}
274,30,Moving,Waiting Area,{},{27}
274,31,Interacting with foreign object,Foraging,{28},{28;34;26}
274,32,Moving,Waiting Area,{34},{34}
274,34,Interacting with foreign object,Waiting Area,{32},{27;31;28;32;26}
275,24,Moving,Waiting Area,{},{}
275,26,Human Interaction,Foraging,{31},{28;34;31}
275,27,Foraging,Waiting Area,{},{28;32}
275,28,Interacting with foreign object,Waiting Area,{31},{34;27;31;26}
275,31,Interacting with foreign object,Foraging,{28;26},{28;34;26}
275,32,Moving,Waiting Area,{},{34;27}
275,34,Interacting with foreign object,Waiting Area,{},{28;32;31;26}
276,24,Interacting with foreign object,Foraging,{36},{28;31;26;36}
276,26,Human Interaction,Foraging,{31},{34;36;31;24;28}
276,27,Foraging,Waiting Area,{},{28;32}
276,28,Interacting with foreign object,Waiting Area,{36;31},{34;27;36;31;24;32;26}
276,31,Interacting with foreign object,Foraging,{28;34;36;26},{34;36;24;28;32;26}
276,32,Moving,Waiting Area,{34},{34;27;36;31;28}
276,34,Interacting with foreign object,Waiting Area,{32;36;31},{36;31;28;32;26}
276,36,Moving,Waiting Area,{28;34;24;31},{34;31;24;28;32;26}
277,24,Low sitting/standing (stationary),Waiting Area,{28;37;36;26},{34;37;36;31;28;26}
277,26,Interacting with foreign object,Foraging,{28;34;24;36},{34;37;36;31;24;35;28}
277,27,Foraging,Waiting Area,{},{28}
277,28,Interacting with foreign object,Waiting Area,{24;26;36},{34;37;27;36;31;24;35;26}
277,31,Interacting with foreign object,Foraging,{35},{34;37;36;24;35;28;26}
277,34,Interacting with foreign object,Waiting Area,{36;26},{36;31;24;35;28;26}
277,35,Interacting with foreign object,Foraging,{31},{34;36;31;28;26}
277,36,Interacting with foreign object,Waiting Area,{34;37;24;28;26},{34;37;31;24;35;28;26}
277,37,Moving,Waiting Area,{24;36},{36;31;24;28;26}
278,24,Low sitting/standing (stationary),Waiting Area,{28;36;26},{34;37;36;31;28;26}
278,26,Interacting with foreign object,Foraging,{34;36;31;24;28},{34;37;36;31;24;35;28}
278,27,Foraging,Waiting Area,{},{28}
278,28,Interacting with foreign object,Waiting Area,{24;26;36},{34;37;27;36;31;24;35;26}
278,31,Interacting with foreign object,Foraging,{37;26;35},{34;37;36;24;35;28;26}
278,34,Interacting with foreign object,Waiting Area,{36;26},{36;31;24;35;28;26}
278,35,Human Interaction,Foraging,{31},{34;37;36;31;28;26}
278,36,Interacting with foreign object,Waiting Area,{28;34;24;26},{34;37;31;24;35;28;26}
278,37,Moving,Foraging,{31},{36;31;24;35;28;26}
279,24,Low sitting/standing (stationary),Waiting Area,{36},{37;36;31;28;26}
279,26,Human Interaction,Foraging,{37;31;35},{34;37;36;31;24;35;28}
279,27,Foraging,Waiting Area,{},{}
279,28,Interacting with foreign object,Waiting Area,{36},{34;37;36;31;24;35;26}
279,31,Interacting with foreign object,Foraging,{37;26;35},{34;37;36;24;35;28;26}
279,34,Interacting with foreign object,Waiting Area,{36},{37;36;31;35;28;26}
279,35,Human Interaction,Foraging,{37;31;26},{34;37;36;31;28;26}
279,36,Interacting with foreign object,Waiting Area,{28;34;24},{34;37;31;24;35;28;26}
279,37,Moving,Foraging,{31;26;35},{34;36;31;24;35;28;26}
280,24,Moving,Foraging,{37;31;26},{37;36;31;35;28;26}
280,26,Human Interaction,Foraging,{37;24;31;35},{34;37;36;31;24;35;28}
280,27,Foraging,Waiting Area,{},{28}
280,28,Interacting with foreign object,Waiting Area,{34;36},{34;37;27;36;31;24;35;26}
280,31,Interacting with foreign object,Foraging,{37;24;26;35},{34;37;36;24;35;28;26}
280,34,Interacting with foreign object,Waiting Area,{28;36},{37;36;31;35;28;26}
280,35,Human Interaction,Foraging,{37;31;26},{34;37;36;31;24;28;26}
280,36,Interacting with foreign object,Waiting Area,{28;34},{34;37;31;24;35;28;26}
280,37,Interacting with foreign object,Foraging,{31;24;26;35},{34;36;31;24;35;28;26}
281,24,Interacting with foreign object,Foraging,{37;31;26;35},{34;37;36;31;35;28;26}
281,26,Interacting with foreign object,Foraging,{37;24;31;35},{34;37;36;31;24;35;28}
281,27,Foraging,Waiting Area,{},{28}
281,28,Interacting with foreign object,Waiting Area,{34;36},{34;37;27;36;31;24;35;26}
281,31,Interacting with foreign object,Foraging,{37;24;26;35},{34;37;36;24;35;28;26}
281,34,Moving,Waiting Area,{28;36},{37;36;31;24;35;28;26}
281,35,Interacting with foreign object,Foraging,{31;37;24;26},{34;37;36;31;24;28;26}
281,36,Interacting with foreign object,Waiting Area,{28;34},{34;37;31;24;35;28;26}
281,37,Interacting with foreign object,Foraging,{31;24;26;35},{34;36;31;24;35;28;26}
282,24,Low sitting/standing (stationary),Foraging,{37;31;26;35},{34;37;36;31;35;28;26}
282,26,Interacting with foreign object,Foraging,{37;24;31;35},{34;37;36;31;24;35;28}
282,27,Foraging,Waiting Area,{},{28;34}
282,28,Interacting with foreign object,Waiting Area,{34;36},{34;37;27;36;31;24;35;26}
282,31,Interacting with foreign object,Foraging,{37;24;26;35},{34;37;36;24;35;28;26}
282,34,Interacting with foreign object,Waiting Area,{28;36},{37;27;36;31;24;35;28;26}
282,35,Interacting with foreign object,Foraging,{31;37;24;26},{34;37;36;31;24;28;26}
282,36,Interacting with foreign object,Waiting Area,{28;34},{34;37;31;24;35;28;26}
282,37,Interacting with foreign object,Foraging,{31;24;26;35},{34;36;31;24;35;28;26}
283,24,Low sitting/standing (stationary),Foraging,{37;31;26;35},{34;37;36;31;35;28;26}
283,26,Interacting with foreign object,Foraging,{37;24;31;35},{34;37;36;31;24;35;28}
283,27,Foraging,Waiting Area,{},{34}
283,28,Interacting with foreign object,Waiting Area,{34;36},{34;37;36;31;24;35;26}
283,31,Interacting with foreign object,Foraging,{37;24;26;35},{34;37;36;24;35;28;26}
283,34,Interacting with foreign object,Waiting Area,{28;36},{37;27;36;31;24;35;28;26}
283,35,Interacting with foreign object,Foraging,{31;37;24;26},{34;37;36;31;24;28;26}
283,36,Interacting with foreign object,Waiting Area,{28;34},{34;37;31;24;35;28;26}
283,37,Interacting with foreign object,Foraging,{31;24;26;35},{34;36;31;24;35;28;26}
284,24,Low sitting/standing (stationary),Foraging,{37;31;26;35},{34;37;36;31;35;28;26}
284,26,Interacting with foreign object,Foraging,{37;24;31;35},{34;37;36;31;24;35;28}
284,27,Moving,Waiting Area,{},{}
284,28,Moving,Waiting Area,{34;36},{34;37;36;31;24;35;26}
284,31,Interacting with foreign object,Foraging,{37;24;26;35},{34;37;36;24;35;28;26}
284,34,Interacting with foreign object,Waiting Area,{28;36},{37;36;31;24;35;28;26}
284,35,Interacting with foreign object,Foraging,{31;37;24;26},{34;37;36;31;24;28;26}
284,36,Interacting with foreign object,Foraging,{28;34},{34;37;31;24;35;28;26}
284,37,Interacting with foreign object,Foraging,{31;24;26;35},{34;36;31;24;35;28;26}
285,24,Low sitting/standing (stationary),Foraging,{37;31;26;35},{34;37;36;31;35;28;26}
285,26,Interacting with foreign object,Foraging,{37;24;31;35},{34;37;36;31;24;35;28}
285,27,Moving,Waiting Area,{},{}
285,28,Moving,Waiting Area,{34;36},{34;37;36;31;24;35;26}
285,31,Interacting with foreign object,Foraging,{37;24;26;35},{34;37;36;24;35;28;26}
285,34,Interacting with foreign object,Waiting Area,{28;36},{37;36;31;24;35;28;26}
285,35,Interacting with foreign object,Foraging,{31;37;24;26},{34;37;36;31;24;28;26}
285,36,Interacting with foreign object,Waiting Area,{28;34},{34;37;31;24;35;28;26}
285,37,Interacting with foreign object,Foraging,{31;24;26;35},{34;36;31;24;35;28;26}
286,24,Low sitting/standing (stationary),Foraging,{37;31;26},{34;37;36;31;28;26}
286,26,Interacting with foreign object,Foraging,{37;24;31},{34;37;27;36;31;24;28}
286,27,Moving,Waiting Area,{},{28;34;36;26}
286,28,Interacting with foreign object,Foraging,{34;36},{34;37;27;36;31;24;26}
286,31,Interacting with foreign object,Foraging,{37;24;26},{34;37;36;24;28;26}
286,34,Interacting with foreign object,Waiting Area,{28;36},{37;27;36;31;24;28;26}
286,36,Interacting with foreign object,Foraging,{28;34},{34;37;27;31;24;28;26}
286,37,Interacting with foreign object,Foraging,{31;24;26},{34;36;31;24;28;26}
287,24,Low sitting/standing (stationary),Foraging,{37;31;38;28;26},{34;37;27;36;31;38;28;26}
287,26,Interacting with foreign object,Foraging,{37;31;38;24;28},{34;37;27;36;31;38;24;28}
287,27,Foraging,Waiting Area,{34;36},{34;37;36;31;38;24;28;26}
287,28,Moving,Foraging,{37;31;38;24;26},{34;37;27;36;31;38;24;26}
287,31,Interacting with foreign object,Foraging,{37;38;24;28;26},{34;37;27;36;38;24;28;26}
287,34,Interacting with foreign object,Waiting Area,{36;27},{37;27;36;31;38;24;28;26}
287,36,Interacting with foreign object,Foraging,{34;27},{34;37;27;31;38;24;28;26}
287,37,Moving,Foraging,{31;38;24;28;26},{34;27;36;31;38;24;28;26}
287,38,Interacting with foreign object,Foraging,{37;31;24;28;26},{34;37;27;36;31;24;28;26}
288,24,Human Interaction,Foraging,{37;31;26;38},{34;37;27;36;31;38;28;26}
288,26,Interacting with foreign object,Foraging,{37;24;31;38},{34;37;27;36;31;38;24;28}
288,27,Foraging,Waiting Area,{34;36},{34;37;36;31;38;24;28;26}
288,28,Human Interaction,Foraging,{34;36},{34;37;27;36;31;24;26}
288,31,Interacting with foreign object,Foraging,{37;24;26;38},{34;37;27;36;38;24;28;26}
288,34,Interacting with foreign object,Waiting Area,{28;36;27},{37;27;36;31;38;24;28;26}
288,36,Interacting with foreign object,Foraging,{28;34;27},{34;37;27;31;38;24;28;26}
288,37,Human Interaction,Foraging,{31;24;26;38},{34;27;36;31;38;24;28;26}
288,38,Human Interaction,Foraging,{31;37;24;26},{34;37;27;36;31;24;26}
289,24,Low sitting/standing (stationary),Foraging,{37;31;38;28;26},{34;37;27;36;31;38;28;26}
289,26,Interacting with foreign object,Foraging,{37;31;38;24;28},{34;37;27;36;31;38;24;28}
289,27,Foraging,Waiting Area,{34;36},{34;37;36;31;38;24;28;26}
289,28,Interacting with foreign object,Foraging,{31;37;24;26},{34;37;27;36;31;38;24;26}
289,31,Interacting with foreign object,Foraging,{37;38;24;28;26},{34;37;27;36;38;24;28;26}
289,34,Interacting with foreign object,Waiting Area,{36;27},{37;27;36;31;38;24;28;26}
289,36,Interacting with foreign object,Foraging,{34;27},{34;37;27;31;38;24;28;26}
289,37,Moving,Foraging,{31;38;24;28;26},{34;27;36;31;38;24;28;26}
